subject,setSize,targetCol,distractorCol,mouse.time
52,20,black,black,2.07526390001294
52,20,black,black,1.40182719999575
52,20,black,black,3.1141753999982
52,5,black,black,0.815017199987778
52,20,red,black,1.00291700000525
52,20,black,black,1.47204579997924
52,5,black,black,0.82284070001333
53,20,red,black,1.12734
53,5,black,black,0.24539
53,5,black,black,1.29858
53,20,black,black,0.319385
53,5,black,black,1.23346
53,20,black,black,1.331755
53,20,black,black,1.70011
53,5,black,black,1.617585
53,20,black,black,1.14596
53,5,black,black,1.249205
54,20,black,black,1.738
54,5,black,black,1.134
54,5,black,black,1.416
54,20,red,black,1.001
54,5,black,black,1.083
55,20,black,black,2.242
55,20,black,black,4.032
55,5,black,black,1.088
55,5,black,black,1.914
55,20,red,black,0.985
55,5,black,black,1.111
55,5,black,black,1.663
55,20,black,black,1.413
55,20,black,black,1.08
55,5,black,black,1.98
56,20,black,black,1.4239
56,5,black,black,1.2725
56,20,black,black,1.4243
56,20,red,black,1.0082
56,5,black,black,0.7578
56,5,black,black,0.8402
56,20,black,black,1.3906
56,5,black,black,0.8074
56,5,black,black,1.3074
56,20,black,black,0.9251
57,20,black,black,1.2809
57,5,black,black,1.1263
57,5,black,black,0.9258
57,5,black,black,0.8636
57,20,black,black,1.0304
57,20,black,black,1.7142
57,5,black,black,0.7035
57,20,black,black,1.3953
57,5,black,black,1.0139
57,20,red,black,0.58
58,20,red,black,2.044
58,5,black,black,2.285
58,20,black,black,1.698
58,5,black,black,2.016
58,20,black,black,1.325
58,20,black,black,3.317
58,5,black,black,1.12
58,5,black,black,2.647
58,5,black,black,1.088
58,20,black,black,4.023
59,5,black,black,1.207
59,20,black,black,2.184
59,20,black,black,3.624
59,20,red,black,0.997
59,20,black,black,0.898
59,5,black,black,0.424
59,20,black,black,3.62
59,5,black,black,1.818
59,5,black,black,0.706
59,5,black,black,1.652
60,5,black,black,2.0023
60,20,black,black,3.95965
60,20,red,black,0.85513
60,20,black,black,3.492395
60,5,black,black,1.004075
60,5,black,black,1.44759
60,5,black,black,1.12091
60,5,black,black,1.50542
60,20,black,black,1.71682
60,20,black,black,1.2365
61,5,black,black,1.816875
61,5,black,black,0.887205
61,20,black,black,1.890225
61,5,black,black,1.10613
61,20,black,black,3.855855
61,5,black,black,1.60633
61,20,red,black,1.57283
61,20,black,black,1.972465
61,20,black,black,1.90711
61,5,black,black,1.29051
63,5,black,black,21.151295
63,5,black,black,2.400585
63,20,black,black,1.788205
63,5,black,black,1.670165
63,20,black,black,2.035455
63,20,black,black,2.3185
63,5,black,black,1.053625
63,20,red,black,1.60375
63,5,black,black,1.02229
63,20,black,black,4.375545
64,20,black,black,1.6709
64,5,black,black,1.1229
64,5,black,black,0.6916
64,5,black,black,0.7363
64,5,black,black,0.9518
64,20,black,black,1.5557
64,5,black,black,0.7572
64,20,black,black,1.8737
64,20,red,black,0.8568
64,20,black,black,1.874
66,5,black,black,1.7696
66,5,black,black,1.7077
66,20,red,black,1.3234
66,5,black,black,1.2205
66,20,black,black,1.1391
66,20,black,black,1.1989
66,20,black,black,1.7123
66,5,black,black,1.2381
66,20,black,black,1.2762
66,5,black,black,0.7048
67,20,black,black,3.3043
67,5,black,black,0.9398
67,5,black,black,1.3427
67,20,black,black,2.8083
67,5,black,black,1.5584
67,20,red,black,1.076
67,5,black,black,1.2073
67,5,black,black,0.9424
67,20,black,black,2.2249
67,20,black,black,1.542
68,20,red,black,0.9929
68,20,black,black,2.1544
68,5,black,black,3.806
68,5,black,black,1.3602
68,5,black,black,1.546
68,5,black,black,1.3937
68,20,black,black,3.924
68,20,black,black,7.7019
68,5,black,black,1.4715
68,20,black,black,1.2618
69,5,black,black,1.798
69,5,black,black,0.9371
69,5,black,black,1.1091
69,20,black,black,1.1731
69,20,red,black,0.8388
69,5,black,black,1.0903
69,20,black,black,1.7222
69,20,black,black,3.3891
69,5,black,black,1.1555
69,20,black,black,1.3056
70,20,black,black,2.0271
70,20,red,black,1.602
70,20,black,black,1.4932
70,5,black,black,1.256
71,20,black,black,1.9283
71,5,black,black,1.6709
71,20,red,black,1.5672
71,5,black,black,1.4305
71,20,black,black,1.7117
71,5,black,black,1.6956
71,20,black,black,1.8262
71,20,black,black,3.3268
71,5,black,black,1.2611
71,5,black,black,1.322
72,20,black,black,7.967
72,20,red,black,1.526
72,5,black,black,1.664
72,20,black,black,4.25
72,5,black,black,1.039
72,20,black,black,2.202
72,20,black,black,2.126
72,5,black,black,1.256
72,5,black,black,1.322
72,5,black,black,1.117
73,20,black,black,8.0068
73,5,black,black,2.2627
73,5,black,black,5.2168
73,5,black,black,2.4681
73,20,black,black,2.9021
73,20,black,black,3.6676
73,20,red,black,1.7985
73,5,black,black,1.6702
73,20,black,black,1.5026
73,5,black,black,1.2192
74,5,black,black,1.0254
74,5,black,black,0.8925
74,20,black,black,0.6787
74,5,black,black,0.881
74,20,black,black,1.0966
74,20,red,black,1.1484
74,20,black,black,2.7655
74,5,black,black,1.2803
74,20,black,black,1.3112
74,5,black,black,0.6829
75,5,black,black,1.5161
75,5,black,black,1.1559
75,20,black,black,1.2131
75,5,black,black,0.8251
75,20,black,black,0.9423
75,20,red,black,0.9462
75,5,black,black,1.0898
75,20,black,black,1.9779
75,20,black,black,0.9135
75,5,black,black,1.2262
76,5,black,black,1.6625
76,5,black,black,1.3906
76,20,black,black,2.0239
76,20,red,black,0.8413
76,20,black,black,1.4088
76,5,black,black,1.3582
76,20,black,black,1.1753
76,5,black,black,0.859
76,20,black,black,3.1944
76,5,black,black,0.841
77,20,red,black,1.0296
77,20,black,black,1.3629
77,5,black,black,1.0594
77,20,black,black,2.3274
77,20,black,black,2.5445
77,5,black,black,0.9608
77,20,black,black,0.9255
77,5,black,black,0.9939
77,5,black,black,1.1088
77,5,black,black,0.7223
78,5,black,black,1.1376
78,20,black,black,1.0461
78,5,black,black,0.8138
78,5,black,black,1.4263
78,5,black,black,0.88
78,20,black,black,1.6315
78,20,black,black,1.3936
78,5,black,black,0.948
78,20,black,black,0.78
78,20,red,black,0.7469
79,20,black,black,2.8026
79,20,black,black,3.4457
79,20,red,black,1.1096
79,5,black,black,1.293
79,20,black,black,1.2258
79,5,black,black,0.7257
79,5,black,black,0.992
79,20,black,black,1.3475
79,5,black,black,1.2803
79,5,black,black,0.9094
80,5,black,black,1.221
80,20,black,black,0.1588
80,5,black,black,0.8931
80,5,black,black,1.0605
80,5,black,black,0.7767
80,20,red,black,0.7935
80,20,black,black,2.7115
80,20,black,black,0.9138
80,20,black,black,1.3619
80,5,black,black,1.0131
81,20,red,black,0.5988
81,20,black,black,1.3283
81,5,black,black,1.1263
81,5,black,black,0.9436
81,20,black,black,1.0621
81,5,black,black,1.0077
81,5,black,black,0.9122
81,20,black,black,2.6639
81,5,black,black,0.7762
81,20,black,black,1.846
82,5,black,black,3.3492
82,20,black,black,1.5295
82,20,black,black,2.6108
82,5,black,black,1.1113
82,20,black,black,1.0253
82,5,black,black,1.1595
82,20,red,black,0.8415
82,5,black,black,0.9934
82,5,black,black,0.9247
82,20,black,black,0.7786
83,20,black,black,2.3151
83,20,black,black,1.8909
83,20,red,black,1.1569
83,5,black,black,1.1071
83,5,black,black,1.2917
83,5,black,black,1.3422
83,5,black,black,1.44
83,5,black,black,0.893
83,20,black,black,2.4071
83,20,black,black,5.9802
84,5,black,black,1.2289
84,20,black,black,3.8794
84,20,black,black,2.0946
84,5,black,black,1.1432
84,20,black,black,1.0295
84,5,black,black,1.1462
84,5,black,black,0.828
84,20,red,black,0.8922
84,20,black,black,1.326
84,5,black,black,0.7787
85,20,black,black,2.0981
85,20,black,black,2.6027
85,20,black,black,1.5224
85,20,red,black,1.4855
85,5,black,black,1.1774
85,5,black,black,0.7359
85,5,black,black,1.0003
85,20,black,black,1.8357
85,5,black,black,1.0596
85,5,black,black,1.0558
86,5,black,black,1.8307
86,5,black,black,1.1576
86,20,black,black,1.6425
86,5,black,black,1.4421
86,20,red,black,1.5271
86,20,black,black,2.4115
86,20,black,black,1.0414
86,20,black,black,1.7093
86,5,black,black,0.8594
