startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.39453125,-0.131510417,1,0,0,0.110677083,-0.235677083,1,0,0,1.5243,1,"[0.12,-0.24000000000000005]",0,0,0,2,1,black,black,1,5,999,001,2021-10-12_09h42.37.940,visual-search,2020.2.8,Win32,60
,,,,,-0.122395833,-0.15625,1,0,0,5.7204,1,"[-0.09,-0.18]",0,1,1,4,1,black,black,1,5,999,001,2021-10-12_09h42.37.940,visual-search,2020.2.8,Win32,60
,,,,,-0.118489583,-0.178385417,1,0,0,2.217,1,"[-0.12,-0.21000000000000002]",0,2,2,9,1,red,black,1,20,999,001,2021-10-12_09h42.37.940,visual-search,2020.2.8,Win32,60
