trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,13.311590800003614,None,-0.24916666666666668,0.14333333333333334,1,0,0,Lstim,0.0062154598999768496,None,,001,2020_Nov_28_1926,visual-search,2020.2.8,60.00571254192582,
1,0,1,0,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,15.283416000020225,None,0.16333333333333333,-0.29083333333333333,1,0,0,Lstim,0.015394210000522435,None,,001,2020_Nov_28_1926,visual-search,2020.2.8,60.00571254192582,
2,0,2,0,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,17.869839399994817,None,-0.13333333333333333,-0.06916666666666667,1,0,0,Lstim,0.01048214000184089,None,,001,2020_Nov_28_1926,visual-search,2020.2.8,60.00571254192582,
3,0,3,0,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,19.798475300020073,None,0.1675,-0.14833333333333334,1,0,0,Lstim,0.004478839982766658,None,,001,2020_Nov_28_1926,visual-search,2020.2.8,60.00571254192582,
4,0,4,0,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,21.64414200000465,None,-0.2916666666666667,0.1125,1,0,0,Lstim,0.012417439982527867,None,,001,2020_Nov_28_1926,visual-search,2020.2.8,60.00571254192582,
