trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse.started,startMouse.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.9664344000048,None,-0.058333333333333334,0.31,1,0,0,0.014195000112522393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_28_1947,visual-search,2020.2.8,59.91356868332337,
0,0,0,0,,,,,,,,,,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,12.902578900015214,None,0.28583333333333333,-0.011666666666666667,1,0,0,Lstim,0.015076600015163422,None,,001,2020_Nov_28_1947,visual-search,2020.2.8,59.91356868332337,
1,0,1,0,,,,,,,,,,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,15.229498800006695,None,-0.07333333333333333,0.16083333333333333,1,0,0,Lstim,0.015124440018553287,None,,001,2020_Nov_28_1947,visual-search,2020.2.8,59.91356868332337,
2,0,2,0,,,,,,,,,,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,17.343793100008043,None,-0.22333333333333333,-0.13083333333333333,1,0,0,Lstim,0.0107225599931553,None,,001,2020_Nov_28_1947,visual-search,2020.2.8,59.91356868332337,
3,0,3,0,,,,,,,,,,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,19.886962899996433,None,0.15916666666666668,0.12,1,0,0,Lstim,0.013335499999811873,None,,001,2020_Nov_28_1947,visual-search,2020.2.8,59.91356868332337,
4,0,4,0,,,,,,,,,,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,22.77995350002311,None,0.15916666666666668,0.12,1,0,0,Lstim,0.014849400002276525,None,,001,2020_Nov_28_1947,visual-search,2020.2.8,59.91356868332337,
