keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
c,1,4.718,,,,,,,,3.418,b,11.618,0,0,0,3,1,1.3,images/target_cross.jpg,666,001,2022-02-08_14h51.52.478,choiceRTT,2021.2.3,Win32,59.95203837
v,1,2.82,,,,,,,,1.32,space,5.168,0,1,1,2,1,1.5,images/target_square.jpg,666,001,2022-02-08_14h51.52.478,choiceRTT,2021.2.3,Win32,59.95203837
v,1,2.409,,,,,,,,1.309,space,0.971,0,2,2,5,1,1.1,images/target_square.jpg,666,001,2022-02-08_14h51.52.478,choiceRTT,2021.2.3,Win32,59.95203837
v,0,2,,,,,,,,0.9,c,0.002,0,3,3,0,1,1.1,images/target_cross.jpg,666,001,2022-02-08_14h51.52.478,choiceRTT,2021.2.3,Win32,59.95203837
