keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.221354167,-0.240885417,1,0,0,3.5733,cross_button,1,2.0733,space,2.9411,0,0,0,6,1,1.5,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,0.291666667,-0.2421875,1,0,0,2.7063,plus_button,1,1.4063,,,0,1,1,1,1,1.3,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,0.009114583,-0.259114583,1,0,0,2.3869,square_button,1,1.0869,,,0,2,2,8,1,1.3,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,0.311197917,-0.25390625,1,0,0,2.88,plus_button,1,1.38,,,0,3,3,4,1,1.5,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,0.076822917,-0.216145833,1,0,0,2.7033,square_button,1,1.2033,,,0,4,4,2,1,1.5,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,-0.208333333,-0.22265625,1,0,0,2.3342,cross_button,0,1.2342,,,0,5,5,7,1,1.1,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,-0.2109375,-0.243489583,1,0,0,2.4418,cross_button,1,1.3418,,,0,6,6,0,1,1.1,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,0.032552083,-0.247395833,1,0,0,2.2224,square_button,1,1.1224,,,0,7,7,5,1,1.1,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,-0.279947917,-0.251302083,1,0,0,3.042,cross_button,1,1.742,,,0,8,8,3,1,1.3,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,,,,,
,0,0.009114583,-0.240885417,1,0,0,2.5407,square_button,1,1.0407,,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,0.05859375,-0.244791667,1,0,0,0,0,0,2,1
,0,-0.279947917,-0.24609375,1,0,0,2.4236,cross_button,1,1.3236,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,1,1,0,1
,0,-0.26171875,-0.2734375,1,0,0,2.5504,cross_button,1,1.2504,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,2,2,3,1
,0,0.248697917,-0.25390625,1,0,0,2.6872,plus_button,1,1.5872,,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,3,3,7,1
,0,0.274739583,-0.25,1,0,0,2.7682,plus_button,1,1.2682,,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,4,4,4,1
,0,0.0625,-0.2578125,1,0,0,2.0635,square_button,1,0.9635,,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,5,5,5,1
,0,-0.27734375,-0.24609375,1,0,0,2.8437,cross_button,1,1.3437,,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,6,6,6,1
,0,-0.001302083,-0.251302083,1,0,0,2.2765,square_button,1,0.9765,,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,7,7,8,1
,0,0.27734375,-0.255208333,1,0,0,2.5279,plus_button,1,1.2279,,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,0,8,8,1,1
,0,-0.194010417,-0.248697917,1,0,0,2.5717,cross_button,1,1.2717,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,0,9,3,1
,0,-0.197916667,-0.251302083,1,0,0,2.6671,cross_button,1,1.1671,,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,1,10,6,1
,0,0.162760417,-0.2421875,1,0,0,3.0907,plus_button,1,1.5907,,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,2,11,4,1
,0,0.184895833,-0.264322917,1,0,0,2.1572,plus_button,1,1.0572,,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,3,12,7,1
,0,-0.184895833,-0.259114583,1,0,0,2.2731,cross_button,1,1.1731,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,4,13,0,1
,0,0.020833333,-0.26171875,1,0,0,2.0764,square_button,1,0.7764,,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,5,14,8,1
,0,0.013020833,-0.263020833,1,0,0,2.2613,square_button,1,0.7613,,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,6,15,2,1
,0,0.243489583,-0.276041667,1,0,0,2.4107,plus_button,1,1.1107,,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,7,16,1,1
,0,-0.001302083,-0.25,1,0,0,2.0666,square_button,1,0.9666,,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-05_13h39.45.571,choiceRTT,2021.2.3,Win32,29.70708811,,,,,,,1,8,17,5,1
