response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
,0,-0.055295139,0.020381944,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,lsb,001,2022-01-20_12h45.50.490,choiceRTT,3.1.3,60
,0,0.122960069,0.01890191,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,lsb,001,2022-01-20_12h45.50.490,choiceRTT,3.1.3,60
