keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,3.2059,,,,,,,,1.9059,,0,0,0,1,1,1.3,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
b,0,2.3022,,,,,,,,0.8022,,0,1,1,6,1,1.5,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
v,0,2.1927,,,,,,,,0.6927,,0,2,2,4,1,1.5,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
c,0,1.6067,,,,,,,,0.5067,c,0,3,3,7,1,1.1,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,2.0162,,,,,,,,,,,
v,1,1.897,,,,,,,,0.797,,0,4,4,5,1,1.1,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
v,1,2.608,,,,,,,,1.108,v,0,5,5,2,1,1.5,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,3.4146,,,,,,,,,,,
c,1,1.9762,,,,,,,,0.6762,v,0,6,6,3,1,1.3,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,1.486,,,,,,,,,,,
c,1,1.5492,,,,,,,,0.4492,,0,7,7,0,1,1.1,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
b,0,1.8364,,,,,,,,0.5364,v,0,8,8,8,1,1.3,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,0.1159,,,,,,,,,,,
c,1,1.7332,,,,,,,,0.6332,,,,,,,1.1,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,0.073964854,-0.239747703,1,0,0,0,0,0,0,1
c,1,1.9008,,,,,,,,0.4008,,,,,,,1.5,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,1,1,6,1
c,0,1.4949,,,,,,,,0.3949,,,,,,,1.1,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,2,2,7,1
v,1,2.1229,,,,,,,,0.6229,,,,,,,1.5,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,3,3,2,1
c,0,1.8182,,,,,,,,0.5182,,,,,,,1.3,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,4,4,1,1
b,1,2.0893,,,,,,,,0.5893,,,,,,,1.5,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,5,5,4,1
v,1,1.7197,,,,,,,,0.4197,,,,,,,1.3,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,6,6,8,1
b,0,1.5419,,,,,,,,0.4419,,,,,,,1.1,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,7,7,5,1
c,1,1.8546,,,,,,,,0.5546,,,,,,,1.3,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,8,8,3,1
v,1,1.6024,,,,,,,,0.5024,,,,,,,1.1,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,0,9,5,1
b,0,1.8877,,,,,,,,0.3877,,,,,,,1.5,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,1,10,6,1
b,1,1.6739,,,,,,,,0.5739,,,,,,,1.1,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,2,11,7,1
v,1,1.8033,,,,,,,,0.5033,,,,,,,1.3,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,3,12,8,1
c,0,2.0645,,,,,,,,0.5645,,,,,,,1.5,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,4,13,4,1
c,1,1.8217,,,,,,,,0.7217,,,,,,,1.1,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,5,14,0,1
b,1,2.2218,,,,,,,,0.9218,,,,,,,1.3,images/target_plus.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,6,15,1,1
v,1,2.08,,,,,,,,0.58,,,,,,,1.5,images/target_square.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,7,16,2,1
c,1,1.9786,,,,,,,,0.6786,,,,,,,1.3,images/target_cross.jpg,Elbikov,001,2022-03-19_08h28.35.078,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,8,17,3,1
