onsetTime,thisImage,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,startMouse.started,startMouse.stopped,targetImage.started,targetImage.stopped,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,text_fb.started,text_fb.stopped,moveOnKeys.keys,moveOnKeys.started,moveOnKeys.stopped,moveOnMouse.started,moveOnMouse.stopped,key_resp.keys,key_resp.started,key_resp.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1.3,images/target_plus.jpg,,,,,0,6,6,1,,,64.11572730005719,64.31529409997165,None,0,0.3025,-0.27,1,0,0,2.493935599923134,plus_button,1,1.1939355999231338,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_plus.jpg,,,,,0,7,7,7,,,66.44929360016249,66.6488559001591,None,0,0.28,-0.27,1,0,0,1.7928841998800635,plus_button,1,0.6928841998800634,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_square.jpg,,,,,0,8,8,8,,,68.482574300142,68.68230490013957,None,0,0.0125,-0.2625,1,0,0,2.173144100001082,square_button,1,0.8731441000010818,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_cross.jpg,,,,,1,0,9,6,,,70.90008430019952,71.09944730019197,None,0,-0.14,-0.2525,1,0,0,2.2914195999037474,cross_button,1,0.7914195999037474,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_plus.jpg,,,,,1,1,10,1,,,73.45033580018207,73.649723400129,None,0,0.1625,-0.25375,1,0,0,2.2751716000493616,plus_button,1,0.9751716000493615,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_square.jpg,,,,,1,2,11,5,,,75.56684820004739,75.76710689999163,None,0,0.01875,-0.25375,1,0,0,1.8925354999955744,square_button,1,0.7925354999955743,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_cross.jpg,,,,,1,3,12,0,,,77.50070360000245,77.69995980011299,None,0,-0.1425,-0.2475,1,0,0,2.025173499947414,cross_button,1,0.9251734999474137,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_square.jpg,,,,,1,4,13,2,,,80.33395240013488,80.53353630006313,None,0,-0.01625,-0.24375,1,0,0,2.2746007000096142,square_button,1,0.7746007000096142,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_square.jpg,,,,,1,5,14,8,,,82.45106410002336,82.65054830000736,None,0,0.17,-0.2425,1,0,0,2.274075400084257,plus_button,0,0.9740754000842571,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_cross.jpg,,,,,1,6,15,3,,,84.76819430012256,84.96764440019615,None,0,-0.35375,-0.25625,1,0,0,2.2900494001805782,cross_button,1,0.9900494001805782,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_plus.jpg,,,,,1,7,16,4,,,87.95152110001072,88.15119690005668,None,0,0.2275,-0.245,1,0,0,2.3760673999786377,plus_button,1,0.8760673999786377,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_plus.jpg,,,,,1,8,17,7,,,89.96847840002738,90.16801710007712,None,0,0.21375,-0.245,1,0,0,1.8412556999828666,plus_button,1,0.7412556999828666,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
