keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,8.0862,,,,,,,,6.5862,space,4.9127,0,0,0,4,1,1.5,images/target_plus.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
b,1,2.4024,,,,,,,,1.1024,space,2.6497,0,1,1,1,1,1.3,images/target_plus.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
v,1,2.2026,,,,,,,,0.9026,space,0.9548,0,2,2,8,1,1.3,images/target_square.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
v,1,1.9044,,,,,,,,0.8044,space,0.7647,0,3,3,5,1,1.1,images/target_square.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
c,1,2.0575,,,,,,,,0.7575,space,4.0819,0,4,4,3,1,1.3,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
v,0,1.5837,,,,,,,,0.4837,space,3.4801,0,5,5,0,1,1.1,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
v,1,2.3792,,,,,,,,0.8792,space,1.7404,0,6,6,2,1,1.5,images/target_square.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
c,1,2.2654,,,,,,,,0.7654,space,1.8282,0,7,7,6,1,1.5,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
b,1,1.9048,,,,,,,,0.8048,space,1.2283,0,8,8,7,1,1.1,images/target_plus.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,
c,1,1.8025,,,,,,,,0.7025,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,space,12.4294,0.584635417,-0.123697917,0,0,0,0,0,0,0,1
c,0,1.9017,,,,,,,,0.6017,,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,1,1,1,1
v,1,1.9948,,,,,,,,0.6948,,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,2,2,8,1
c,1,1.9351,,,,,,,,0.6351,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,3,3,3,1
v,1,1.8547,,,,,,,,0.7547,,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,4,4,5,1
b,1,2.3716,,,,,,,,0.8716,,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,5,5,4,1
b,1,1.7019,,,,,,,,0.6019,,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,6,6,7,1
c,1,2.2283,,,,,,,,0.7283,,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,7,7,6,1
v,1,2.1991,,,,,,,,0.6991,,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,0,8,8,2,1
c,1,2.0591,,,,,,,,0.7591,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-03_23h30.41.122,choiceRTT,2021.2.3,Win32,59.99880002,,,,,,,,1,0,9,3,1
