onsetTime,thisImage,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,startMouse.started,startMouse.stopped,targetImage.started,targetImage.stopped,keyResp.keys,keyResp.corr,keyResp.rt,trialRespTimes,text_fb.started,text_fb.stopped,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.started,moveOnKeys.stopped,moveOnMouse.started,moveOnMouse.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1.3,images/target_square.jpg,,,,,0,8,8,8,,,61.67378650000319,61.87348249997012,v,1,1.8848124998621643,0.5848124998621642,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.5,images/target_cross.jpg,,,,,1,0,9,6,,,63.80734799988568,64.00687749986537,c,1,2.095998799894005,0.5959987998940051,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.3,images/target_cross.jpg,,,,,1,1,10,3,,,65.75814999989234,65.9572187999729,c,1,1.753715300001204,0.45371530000120397,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.1,images/target_square.jpg,,,,,1,2,11,5,,,67.35775560000911,67.55706729996018,v,1,1.7062516000587493,0.6062516000587492,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.1,images/target_plus.jpg,,,,,1,3,12,7,,,69.10794540005736,69.30750110000372,b,1,1.6923036000225693,0.5923036000225692,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.5,images/target_plus.jpg,,,,,1,4,13,4,,,71.25795489992015,71.45779610006139,b,1,2.117524200119078,0.6175242001190782,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.3,images/target_square.jpg,,,,,1,5,14,8,,,73.22466959990561,73.42427299986593,v,1,1.7753206000197679,0.47532060001976784,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.1,images/target_cross.jpg,,,,,1,6,15,0,,,74.85830269986764,75.05798799986951,b,0,1.564979099901393,0.46497909990139297,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.3,images/target_plus.jpg,,,,,1,7,16,1,,,76.67544459993951,76.87494469992816,b,1,1.8604623000137508,0.5604623000137507,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
1.5,images/target_square.jpg,,,,,1,8,17,2,,,78.79248209996149,78.99177159997635,v,1,2.102578300051391,0.6025783000513911,,,,,,,,,,,,,,,,,,,,keyboard,001,2022_Jan_07_1930,choiceRTT,2021.2.3,60.00960146962524,
