keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
v,0,2.1234,,,,,,,,0.8234,,0,0,0,3,1,1.3,images/target_cross.jpg,jorge,001,2022-02-22_17h40.07.077,choiceRTT,2021.2.3,Win32,60.20832079
b,1,3.0503,,,,,,,,1.5503,,0,1,1,4,1,1.5,images/target_plus.jpg,jorge,001,2022-02-22_17h40.07.077,choiceRTT,2021.2.3,Win32,60.20832079
c,1,2.7325,,,,,,,,1.2325,,0,2,2,6,1,1.5,images/target_cross.jpg,jorge,001,2022-02-22_17h40.07.077,choiceRTT,2021.2.3,Win32,60.20832079
c,0,2.1338,,,,,,,,0.8338,,0,3,3,1,1,1.3,images/target_plus.jpg,jorge,001,2022-02-22_17h40.07.077,choiceRTT,2021.2.3,Win32,60.20832079
b,0,2.0211,,,,,,,,0.7211,,0,4,4,8,1,1.3,images/target_square.jpg,jorge,001,2022-02-22_17h40.07.077,choiceRTT,2021.2.3,Win32,60.20832079
v,1,2.1653,,,,,,,,0.6653,,0,5,5,2,1,1.5,images/target_square.jpg,jorge,001,2022-02-22_17h40.07.077,choiceRTT,2021.2.3,Win32,60.20832079
