keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,1.9037,,,,,,,,0.6037,,,,,,,1.3,images/target_square.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,1,1,8,1
v,1,1.5248,,,,,,,,0.4248,,,,,,,1.1,images/target_square.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,2,2,5,1
c,1,1.8776,,,,,,,,0.3776,,,,,,,1.5,images/target_cross.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,3,3,6,1
b,0,1.7534,,,,,,,,0.4534,,,,,,,1.3,images/target_cross.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,4,4,3,1
c,1,1.5381,,,,,,,,0.4381,,,,,,,1.1,images/target_cross.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,5,5,0,1
b,0,1.9566,,,,,,,,0.4566,,,,,,,1.5,images/target_square.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,6,6,2,1
c,0,1.6533,,,,,,,,0.3533,,,,,,,1.3,images/target_plus.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,7,7,1,1
b,1,1.5152,,,,,,,,0.4152,,,,,,,1.1,images/target_plus.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,0,8,8,7,1
c,0,1.6697,,,,,,,,0.3697,,,,,,,1.3,images/target_plus.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,0,9,1,1
c,0,1.6816,,,,,,,,0.3816,,,,,,,1.3,images/target_square.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,1,10,8,1
v,1,1.788,,,,,,,,0.288,,,,,,,1.5,images/target_square.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,2,11,2,1
b,0,1.6405,,,,,,,,0.5405,,,,,,,1.1,images/target_cross.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,3,12,0,1
c,1,1.7267,,,,,,,,0.4267,,,,,,,1.3,images/target_cross.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,4,13,3,1
v,0,1.9317,,,,,,,,0.4317,,,,,,,1.5,images/target_plus.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,5,14,4,1
b,1,1.6585,,,,,,,,0.5585,,,,,,,1.1,images/target_plus.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,6,15,7,1
c,0,0.6987,,,,,,,,-0.4013,,,,,,,1.1,images/target_square.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,7,16,5,1
v,0,1.8786,,,,,,,,0.3786,,,,,,,1.5,images/target_cross.jpg,sub01,001,2022-05-10_18h14.12.604,choiceRTT,2021.2.3,Win32,59.88741167,,,,,,,,,1,8,17,6,1
