keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
c,0,6.2705,,,,,,,,4.9705,space,9.5729,0,0,0,8,1,1.3,images/target_square.jpg,q,001,2022-03-30_23h18.32.526,choiceRTT,2021.2.3,Win32,58.89281508
v,1,16.6001,,,,,,,,15.5001,space,6.4781,0,1,1,5,1,1.1,images/target_square.jpg,q,001,2022-03-30_23h18.32.526,choiceRTT,2021.2.3,Win32,58.89281508
c,1,3.785,,,,,,,,2.685,space,8.5933,0,2,2,0,1,1.1,images/target_cross.jpg,q,001,2022-03-30_23h18.32.526,choiceRTT,2021.2.3,Win32,58.89281508
c,0,3.8827,,,,,,,,2.7827,space,9.9995,0,3,3,7,1,1.1,images/target_plus.jpg,q,001,2022-03-30_23h18.32.526,choiceRTT,2021.2.3,Win32,58.89281508
