response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
c,0,14.89400005,0.127777793,-0.237037048,0,0,0,1,0,8,5,1,7,1,-0.125,v,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
v,0,1.027000189,0.127777793,-0.237037048,0,0,0,1,0,8,6,1,7,1,0.125,b,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
c,0,0.630000114,0.127777793,-0.237037048,0,0,0,1,0,8,1,1,7,1,-0.125,v,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
c,1,2.476999998,0.127777793,-0.237037048,0,0,0,1,0,8,0,1,7,1,-0.375,c,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
c,1,0.611999989,0.127777793,-0.237037048,0,0,0,1,0,8,4,1,7,1,-0.375,c,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
b,1,0.792000055,0.127777793,-0.237037048,0,0,0,1,0,8,2,1,7,1,0.125,b,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
n,1,0.641000032,0.127777793,-0.237037048,0,0,0,1,0,8,3,1,7,1,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
n,1,0.478000164,0.127777793,-0.237037048,0,0,0,1,0,8,7,1,7,1,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,,,,,,
v,1,1.059999943,0.127777793,-0.237037048,0,0,0,,,,,,,2.9998,-0.125,v,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,37,1,39
n,1,0.561999798,0.127777793,-0.237037048,0,0,0,,,,,,,1.2222,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,7,1,39
c,1,0.780999899,0.127777793,-0.237037048,0,0,0,,,,,,,2.7776,-0.375,c,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,32,1,39
n,1,0.609999895,0.127777793,-0.237037048,0,0,0,,,,,,,2.7776,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,35,1,39
c,1,0.463000059,0.127777793,-0.237037048,0,0,0,,,,,,,2.5554,-0.375,c,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,28,1,39
c,1,0.430999994,0.127777793,-0.237037048,0,0,0,,,,,,,1.4444,-0.375,c,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,8,1,39
v,1,0.963000059,0.127777793,-0.237037048,0,0,0,,,,,,,1,-0.125,v,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,1,1,39
v,1,0.828999996,0.127777793,-0.237037048,0,0,0,,,,,,,1.4444,-0.125,v,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,9,1,39
b,1,0.634000063,0.127777793,-0.237037048,0,0,0,,,,,,,2.111,0.125,b,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,22,1,39
n,1,0.46600008,0.127777793,-0.237037048,0,0,0,,,,,,,1.4444,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,11,1,39
b,1,0.648000002,0.127777793,-0.237037048,0,0,0,,,,,,,2.5554,0.125,b,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,30,1,39
n,1,0.627000093,0.127777793,-0.237037048,0,0,0,,,,,,,2.9998,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,39,1,39
b,1,0.677999973,0.127777793,-0.237037048,0,0,0,,,,,,,1.6666,0.125,b,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,14,1,39
v,1,0.830999851,0.127777793,-0.237037048,0,0,0,,,,,,,1.2222,-0.125,v,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,5,1,39
b,1,0.628999949,0.127777793,-0.237037048,0,0,0,,,,,,,2.3332,0.125,b,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,26,1,39
n,1,0.79700017,0.127777793,-0.237037048,0,0,0,,,,,,,1.6666,0.375,n,1,001,2022-01-08_16h12.38.036,choiceRTT,3.1.3,60,1,0,40,15,1,39
