keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,3.601,,,,,,,,2.501,,0,0,0,0,1,1.1,images/target_cross.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,,,,,,,,,,,,
v,1,2.951,,,,,,,,1.851,space,0,1,1,5,1,1.1,images/target_square.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,3.479,,,,,,,,,,,
v,1,2.833,,,,,,,,1.333,space,0,2,2,2,1,1.5,images/target_square.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,3.081,,,,,,,,,,,
c,0,1.966,,,,,,,,0.666,b,0,3,3,1,1,1.3,images/target_plus.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,0.004,,,,,,,,,,,
b,1,1.884,,,,,,,,0.784,space,0,4,4,7,1,1.1,images/target_plus.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,1.459,,,,,,,,,,,
v,0,2.192,,,,,,,,0.692,space,0,5,5,6,1,1.5,images/target_cross.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,6.151,,,,,,,,,,,
b,1,2.487,,,,,,,,0.987,space,0,6,6,4,1,1.5,images/target_plus.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,1.404,,,,,,,,,,,
c,1,1.937,,,,,,,,0.637,space,0,7,7,3,1,1.3,images/target_cross.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,1.177,,,,,,,,,,,
v,1,1.888,,,,,,,,0.588,space,0,8,8,8,1,1.3,images/target_square.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,0.926,,,,,,,,,,,
c,1,2.009,,,,,,,,0.909,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,,,0.067545305,-0.256177924,1,0,0,0,0,0,0,1
b,1,2.416,,,,,,,,1.116,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,,,,,,,,0,1,1,1,1
b,1,2.333,,,,,,,,1.233,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,,,,,,,,0,2,2,7,1
v,1,2.958,,,,,,,,1.658,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-04_04h19.55.250,choiceRTT,2021.2.3,Win32,60.09615385,,,,,,,,0,3,3,8,1
