id_number,started_on,mark_mean,mark_class
42597218,TRUE,32.1176470588235,Distinction
43686060,TRUE,26.0689655172414,Pass
44768311,FALSE,22.6153846153846,Pass
44810539,TRUE,31.1612903225806,Credit
44879199,TRUE,19.3846153846154,Fail
44948964,FALSE,17.1111111111111,Fail
45165637,FALSE,15.4,Fail
45177929,TRUE,21.7241379310345,Pass
45240930,TRUE,29.8064516129032,Credit
45347018,TRUE,32.4,Distinction
45410712,TRUE,30.8,Credit
45413762,TRUE,23.1724137931034,Pass
45424632,TRUE,9,Fail
45430071,TRUE,23.1724137931034,Pass
45431116,TRUE,25.741935483871,Pass
45601917,TRUE,18.8275862068966,Fail
45620695,TRUE,19.6,Fail
45624860,TRUE,30.1875,Credit
45625131,TRUE,17.1111111111111,Fail
45626626,TRUE,12.6,Fail
45796319,TRUE,24.6206896551724,Pass
45813868,TRUE,21,Pass
45868263,TRUE,25.741935483871,Pass
45870853,TRUE,33.8709677419355,Distinction
45889899,TRUE,12,Fail
45905436,TRUE,11.3076923076923,Fail
45946817,TRUE,18.9677419354839,Fail
45966710,TRUE,28.9655172413793,Credit
45969604,TRUE,21.7241379310345,Pass
45979065,TRUE,21,Pass
45991677,TRUE,16.5,Fail
46014101,TRUE,14.9032258064516,Fail
46029656,TRUE,16.8,Fail
46130802,TRUE,16.8,Fail
46154833,TRUE,12.4444444444444,Fail
46327738,TRUE,20.2222222222222,Fail
46335005,TRUE,30.1875,Credit
46347208,TRUE,30.8,Credit
46348301,TRUE,35.1891891891892,Distinction
46349219,TRUE,17.3793103448276,Fail
46367586,TRUE,14,Fail
46369589,TRUE,17.1111111111111,Fail
46369716,TRUE,24.8888888888889,Pass
46371524,TRUE,29.8064516129032,Credit
46376178,TRUE,28,Credit
46388273,TRUE,24.1818181818182,Pass
46398155,TRUE,24.3870967741936,Pass
46399682,TRUE,4.3448275862069,Fail
46408371,TRUE,14,Fail
46410651,TRUE,36,High Distinction
46415920,TRUE,27.5172413793104,Credit
46424334,TRUE,23.3333333333333,Pass
46426957,TRUE,36.5806451612903,High Distinction
46428968,TRUE,33.6,Distinction
46435425,FALSE,1.61538461538462,Fail
46435506,FALSE,18,Fail
46436952,TRUE,30.1875,Credit
46443924,TRUE,20.3636363636364,Fail
46452389,TRUE,24,Pass
46453938,TRUE,34.5882352941177,Distinction
46454527,TRUE,24.6206896551724,Pass
46456775,TRUE,22.4,Pass
46459650,TRUE,30.3333333333333,Credit
46462120,TRUE,14.9032258064516,Fail
46462538,TRUE,28,Credit
46463755,TRUE,12.6,Fail
46469370,TRUE,15.5555555555556,Fail
46471049,TRUE,27.0967741935484,Pass
46477950,TRUE,9,Fail
46503080,TRUE,28.4516129032258,Credit
46518436,TRUE,29.6470588235294,Credit
46527737,TRUE,29.4,Credit
46573801,TRUE,28,Credit
46576835,TRUE,27.1764705882353,Pass
46578889,TRUE,9.33333333333333,Fail
46587152,TRUE,27.5172413793104,Credit
46594493,TRUE,14,Fail
46596070,TRUE,24.9375,Pass
46604375,TRUE,22.4,Pass
46604391,TRUE,23.1724137931034,Pass
46604421,TRUE,19.5,Fail
46605142,TRUE,22.6153846153846,Pass
46606718,TRUE,19.5,Fail
46609989,TRUE,30.8,Credit
46611053,TRUE,30,Credit
46618457,TRUE,15,Fail
46623485,TRUE,27.6,Credit
46626921,TRUE,27,Pass
46632840,TRUE,10.5,Fail
46635734,TRUE,34.5882352941177,Distinction
46636609,TRUE,19.6,Fail
46637265,TRUE,30.4137931034483,Credit
46644075,TRUE,32.8125,Distinction
46959637,TRUE,21.7777777777778,Pass
46963812,TRUE,21.7241379310345,Pass
46970258,TRUE,21.7241379310345,Pass
46974911,TRUE,18,Fail
46975403,TRUE,15,Fail
46977198,TRUE,23.625,Pass
46978542,TRUE,24.6206896551724,Pass
46982647,TRUE,37.5789473684211,High Distinction
46983996,TRUE,13.0344827586207,Fail
47002905,TRUE,30.1875,Credit
47085142,TRUE,21,Pass
47088028,TRUE,18.9677419354839,Fail
47090308,TRUE,13.0344827586207,Fail
47093897,TRUE,16.1538461538462,Fail
47095741,TRUE,32.5161290322581,Distinction
47112476,TRUE,12.9230769230769,Fail
47115394,TRUE,21.7777777777778,Pass
47115831,TRUE,15.5555555555556,Fail
47117214,TRUE,25.5,Pass
47118717,TRUE,32.8125,Distinction
47159464,TRUE,10.5,Fail
47161418,TRUE,25.741935483871,Pass
47161698,TRUE,30.3333333333333,Credit
