student_id,ans_labels,ans,sub_ind,n_correct,n_total,score
46492526,prob_1_r_result,correct,1,6,7,0.857142857142857
46492526,prob_2_r_result,correct,1,6,7,0.857142857142857
46492526,prob_3_r_result,correct,1,6,7,0.857142857142857
46492526,prob_4_r_result,correct,1,6,7,0.857142857142857
46492526,ans_5,correct,1,6,7,0.857142857142857
46492526,ans_6a,correct,1,6,7,0.857142857142857
46492526,ans_6b,incorrect,1,6,7,0.857142857142857
46437290,prob_1_r_result,correct,2,6,7,0.857142857142857
46437290,prob_2_r_result,correct,2,6,7,0.857142857142857
46437290,prob_3_r_result,correct,2,6,7,0.857142857142857
46437290,prob_4_r_result,correct,2,6,7,0.857142857142857
46437290,ans_5,correct,2,6,7,0.857142857142857
46437290,ans_6a,correct,2,6,7,0.857142857142857
46437290,ans_6b,incorrect,2,6,7,0.857142857142857
45898448,prob_1_r_result,correct,3,6,7,0.857142857142857
45898448,prob_2_r_result,correct,3,6,7,0.857142857142857
45898448,prob_3_r_result,correct,3,6,7,0.857142857142857
45898448,prob_4_r_result,correct,3,6,7,0.857142857142857
45898448,ans_5,correct,3,6,7,0.857142857142857
45898448,ans_6a,correct,3,6,7,0.857142857142857
45898448,ans_6b,incorrect,3,6,7,0.857142857142857
46564349,prob_1_r_result,correct,4,6,7,0.857142857142857
46564349,prob_2_r_result,correct,4,6,7,0.857142857142857
46564349,prob_3_r_result,correct,4,6,7,0.857142857142857
46564349,prob_4_r_result,correct,4,6,7,0.857142857142857
46564349,ans_5,correct,4,6,7,0.857142857142857
46564349,ans_6a,correct,4,6,7,0.857142857142857
46564349,ans_6b,incorrect,4,6,7,0.857142857142857
46468412,prob_1_r_result,incorrect,5,1,7,0.142857142857143
46468412,prob_2_r_result,incorrect,5,1,7,0.142857142857143
46468412,prob_3_r_result,incorrect,5,1,7,0.142857142857143
46468412,prob_4_r_result,incorrect,5,1,7,0.142857142857143
46468412,ans_5,correct,5,1,7,0.142857142857143
46468412,ans_6a,incorrect,5,1,7,0.142857142857143
46468412,ans_6b,incorrect,5,1,7,0.142857142857143
46350160,prob_1_r_result,correct,6,5,7,0.714285714285714
46350160,prob_2_r_result,correct,6,5,7,0.714285714285714
46350160,prob_3_r_result,correct,6,5,7,0.714285714285714
46350160,prob_4_r_result,correct,6,5,7,0.714285714285714
46350160,ans_5,correct,6,5,7,0.714285714285714
46350160,ans_6a,incorrect,6,5,7,0.714285714285714
46350160,ans_6b,incorrect,6,5,7,0.714285714285714
46356452,prob_1_r_result,correct,7,5,7,0.714285714285714
46356452,prob_2_r_result,incorrect,7,5,7,0.714285714285714
46356452,prob_3_r_result,correct,7,5,7,0.714285714285714
46356452,prob_4_r_result,correct,7,5,7,0.714285714285714
46356452,ans_5,correct,7,5,7,0.714285714285714
46356452,ans_6a,correct,7,5,7,0.714285714285714
46356452,ans_6b,incorrect,7,5,7,0.714285714285714
45635927,prob_1_r_result,correct,8,6,7,0.857142857142857
45635927,prob_2_r_result,correct,8,6,7,0.857142857142857
45635927,prob_3_r_result,correct,8,6,7,0.857142857142857
45635927,prob_4_r_result,correct,8,6,7,0.857142857142857
45635927,ans_5,correct,8,6,7,0.857142857142857
45635927,ans_6a,correct,8,6,7,0.857142857142857
45635927,ans_6b,incorrect,8,6,7,0.857142857142857
41739566,prob_1_r_result,correct,9,4,7,0.571428571428571
41739566,prob_2_r_result,correct,9,4,7,0.571428571428571
41739566,prob_3_r_result,correct,9,4,7,0.571428571428571
41739566,prob_4_r_result,incorrect,9,4,7,0.571428571428571
41739566,ans_5,correct,9,4,7,0.571428571428571
41739566,ans_6a,incorrect,9,4,7,0.571428571428571
41739566,ans_6b,incorrect,9,4,7,0.571428571428571
46558195,prob_1_r_result,correct,10,6,7,0.857142857142857
46558195,prob_2_r_result,correct,10,6,7,0.857142857142857
46558195,prob_3_r_result,correct,10,6,7,0.857142857142857
46558195,prob_4_r_result,correct,10,6,7,0.857142857142857
46558195,ans_5,correct,10,6,7,0.857142857142857
46558195,ans_6a,correct,10,6,7,0.857142857142857
46558195,ans_6b,incorrect,10,6,7,0.857142857142857
45344361,prob_1_r_result,correct,11,5,7,0.714285714285714
45344361,prob_2_r_result,correct,11,5,7,0.714285714285714
45344361,prob_3_r_result,correct,11,5,7,0.714285714285714
45344361,prob_4_r_result,correct,11,5,7,0.714285714285714
45344361,ans_5,correct,11,5,7,0.714285714285714
45344361,ans_6a,incorrect,11,5,7,0.714285714285714
45344361,ans_6b,incorrect,11,5,7,0.714285714285714
45659818,prob_1_r_result,correct,12,6,7,0.857142857142857
45659818,prob_2_r_result,correct,12,6,7,0.857142857142857
45659818,prob_3_r_result,correct,12,6,7,0.857142857142857
45659818,prob_4_r_result,correct,12,6,7,0.857142857142857
45659818,ans_5,correct,12,6,7,0.857142857142857
45659818,ans_6a,correct,12,6,7,0.857142857142857
45659818,ans_6b,incorrect,12,6,7,0.857142857142857
45869162,prob_1_r_result,correct,13,6,7,0.857142857142857
45869162,prob_2_r_result,correct,13,6,7,0.857142857142857
45869162,prob_3_r_result,correct,13,6,7,0.857142857142857
45869162,prob_4_r_result,correct,13,6,7,0.857142857142857
45869162,ans_5,correct,13,6,7,0.857142857142857
45869162,ans_6a,correct,13,6,7,0.857142857142857
45869162,ans_6b,incorrect,13,6,7,0.857142857142857
46399054,prob_1_r_result,correct,14,6,7,0.857142857142857
46399054,prob_2_r_result,correct,14,6,7,0.857142857142857
46399054,prob_3_r_result,correct,14,6,7,0.857142857142857
46399054,prob_4_r_result,correct,14,6,7,0.857142857142857
46399054,ans_5,correct,14,6,7,0.857142857142857
46399054,ans_6a,correct,14,6,7,0.857142857142857
46399054,ans_6b,incorrect,14,6,7,0.857142857142857
45979804,prob_1_r_result,incorrect,15,5,7,0.714285714285714
45979804,prob_2_r_result,correct,15,5,7,0.714285714285714
45979804,prob_3_r_result,correct,15,5,7,0.714285714285714
45979804,prob_4_r_result,correct,15,5,7,0.714285714285714
45979804,ans_5,correct,15,5,7,0.714285714285714
45979804,ans_6a,correct,15,5,7,0.714285714285714
45979804,ans_6b,incorrect,15,5,7,0.714285714285714
41465806,prob_1_r_result,correct,16,6,7,0.857142857142857
41465806,prob_2_r_result,correct,16,6,7,0.857142857142857
41465806,prob_3_r_result,correct,16,6,7,0.857142857142857
41465806,prob_4_r_result,correct,16,6,7,0.857142857142857
41465806,ans_5,correct,16,6,7,0.857142857142857
41465806,ans_6a,correct,16,6,7,0.857142857142857
41465806,ans_6b,incorrect,16,6,7,0.857142857142857
43882234,prob_1_r_result,correct,17,6,7,0.857142857142857
43882234,prob_2_r_result,correct,17,6,7,0.857142857142857
43882234,prob_3_r_result,correct,17,6,7,0.857142857142857
43882234,prob_4_r_result,correct,17,6,7,0.857142857142857
43882234,ans_5,correct,17,6,7,0.857142857142857
43882234,ans_6a,correct,17,6,7,0.857142857142857
43882234,ans_6b,incorrect,17,6,7,0.857142857142857
45658145,prob_1_r_result,correct,18,5,7,0.714285714285714
45658145,prob_2_r_result,correct,18,5,7,0.714285714285714
45658145,prob_3_r_result,incorrect,18,5,7,0.714285714285714
45658145,prob_4_r_result,correct,18,5,7,0.714285714285714
