condition,subject,block,acc_mean,rt_mean
delay,107,23,0.8,1.13799728
delay,107,24,0.88,1.07566132
delay,108,1,0.52,1.81911924
delay,108,2,0.6,1.17278496
delay,108,3,0.52,1.73881472
delay,108,4,0.56,1.215559
delay,108,5,0.44,1.22596152
delay,108,6,0.44,0.72597228
delay,108,7,0.6,1.4147594
delay,108,8,0.8,1.84087848
delay,108,9,0.84,1.43924236
delay,108,10,0.6,2.03398644
delay,108,11,0.76,2.0157148
delay,108,12,0.88,1.63656508
delay,108,13,0.8,1.37813196
delay,108,14,0.8,1.41856012
delay,108,15,0.76,1.5257972
delay,108,16,0.8,1.30793352
delay,108,17,0.8,0.8383818
delay,108,18,0.88,0.80149716
delay,108,19,0.88,0.66833796
delay,108,20,0.8,0.80176236
delay,108,21,0.8,1.0002012
delay,108,22,0.8,1.0234336
delay,108,23,0.76,0.83350016
delay,108,24,0.88,0.88625004
delay,109,1,0.88,1.85161092
delay,109,2,1,1.54049908
delay,109,3,0.92,1.44705432
delay,109,4,0.92,1.38161156
delay,109,5,0.96,1.44120176
delay,109,6,0.92,1.63377428
delay,109,7,0.92,1.45879428
delay,109,8,0.96,1.50421084
delay,109,9,0.88,1.40239452
delay,109,10,0.92,1.5128334
delay,109,11,1,1.42194324
delay,109,12,0.92,1.34933316
delay,109,13,1,1.25071664
delay,109,14,1,1.4843646
delay,109,15,1,1.19906888
delay,109,16,0.96,1.48977504
delay,109,17,1,1.210089
delay,109,18,0.96,1.30397744
delay,109,19,0.84,1.318473
delay,109,20,0.88,1.16267024
delay,109,21,0.92,0.9773696
delay,109,22,0.88,1.10769164
delay,109,23,0.88,1.05155776
delay,109,24,0.92,1.25324712
delay,110,1,0.84,1.32169284
delay,110,2,0.92,1.58744792
delay,110,3,0.96,1.37126808
delay,110,4,1,1.40881436
delay,110,5,0.92,1.39341632
delay,110,6,1,1.280393
delay,110,7,1,1.07585868
delay,110,8,0.96,1.19311868
delay,110,9,0.96,1.10024764
delay,110,10,0.84,1.25103544
delay,110,11,1,1.15135832
delay,110,12,1,1.07146236
delay,110,13,0.92,1.23533308
delay,110,14,0.96,1.20395248
delay,110,15,0.96,1.15291992
delay,110,16,0.92,0.94729296
delay,110,17,1,1.03910084
delay,110,18,0.96,1.0915176
delay,110,19,0.88,1.12632324
delay,110,20,0.96,0.9399302
delay,110,21,0.8,0.99828768
delay,110,22,0.88,1.09554548
delay,110,23,0.96,1.31457828
delay,110,24,0.92,1.04345624
delay,111,1,0.6,1.59079112
delay,111,2,0.64,1.40107296
delay,111,3,0.84,1.2519802
delay,111,4,0.76,1.2512704
delay,111,5,0.6,1.27323852
delay,111,6,0.84,1.52548548
delay,111,7,0.88,1.30546004
delay,111,8,0.92,1.16388996
delay,111,9,0.88,1.32710172
delay,111,10,0.88,1.25518588
delay,111,11,0.84,1.22086752
delay,111,12,0.8,1.20558684
delay,111,13,0.96,1.2743944
delay,111,14,1,0.99442136
delay,111,15,0.96,1.07509844
delay,111,16,0.84,1.12561228
delay,111,17,0.84,1.20069016
delay,111,18,0.76,1.10468392
delay,111,19,0.92,1.099604
delay,111,20,0.72,1.17964212
delay,111,21,0.88,1.04379048
delay,111,22,0.76,1.24611104
delay,111,23,0.88,1.07735148
delay,111,24,0.64,1.28073492
delay,112,1,0.84,1.51299276
delay,112,2,0.96,1.19477788
delay,112,3,0.84,1.47506996
delay,112,4,0.88,1.13400472
delay,112,5,0.88,1.28407356
delay,112,6,0.92,1.22145792
delay,112,7,1,1.04004208
delay,112,8,0.96,1.04885008
delay,112,9,1,0.95716216
delay,112,10,0.96,1.16652088
delay,112,11,0.96,0.77369748
delay,112,12,0.96,0.94084936
delay,112,13,0.96,1.0916138
delay,112,14,0.96,0.8224302
delay,112,15,0.96,0.83876688
delay,112,16,1,0.85401408
delay,112,17,0.96,1.2162552
delay,112,18,0.88,1.028796
delay,112,19,0.92,1.14186456
delay,112,20,0.92,1.22199372
delay,112,21,0.92,0.95506636
delay,112,22,0.96,0.918873
delay,112,23,0.88,1.1968328
delay,112,24,0.76,1.39633096
delay,113,1,0.76,1.36142772
delay,113,2,0.76,0.91477864
delay,113,3,0.72,1.09597568
delay,113,4,0.52,1.21436376
delay,113,5,0.72,1.14292624
delay,113,6,0.88,1.36014536
delay,113,7,0.64,1.39477932
delay,113,8,0.8,1.54802396
delay,113,9,0.76,1.61955876
delay,113,10,0.88,1.83989812
delay,113,11,0.92,1.31561952
delay,113,12,0.76,1.66446392
delay,113,13,0.96,1.1645502
delay,113,14,0.92,1.59358796
delay,113,15,0.88,1.32396864
delay,113,16,0.68,2.02837536
delay,113,17,0.6,0.67702588
delay,113,18,0.44,0.434043
delay,113,19,0.64,0.39368628
delay,113,20,0.64,0.99130288
delay,113,21,0.72,0.70075628
delay,113,22,0.56,0.637599
delay,113,23,0.52,0.476155
delay,113,24,0.64,0.67681548
delay,114,1,0.52,1.72866432
delay,114,2,0.92,1.03397448
delay,114,3,0.76,1.10097652
delay,114,4,0.84,0.9548898
delay,114,5,0.88,0.90096744
delay,114,6,0.96,1.10154028
delay,114,7,0.92,0.8375824
delay,114,8,0.92,0.93166276
delay,114,9,1,0.85296792
delay,114,10,1,0.86565372
delay,114,11,1,0.6986872
delay,114,12,0.92,0.93201028
delay,114,13,1,0.77463304
delay,114,14,1,0.76085336
delay,114,15,0.96,0.67051596
delay,114,16,0.96,0.70426224
delay,114,17,0.88,0.58764704
delay,114,18,0.84,0.70729304
delay,114,19,0.64,0.6285462
delay,114,20,0.72,0.70114116
delay,114,21,0.72,0.64013884
delay,114,22,0.76,0.85499476
delay,114,23,0.96,0.71489316
delay,114,24,0.8,0.7558628
delay,115,1,0.4,1.36220388
delay,115,2,0.48,1.38728328
delay,115,3,0.64,1.09630848
delay,115,4,0.68,1.01845916
delay,115,5,0.64,0.7698292
delay,115,6,0.72,0.85891204
delay,115,7,0.6,0.95413704
delay,115,8,0.8,0.92501696
delay,115,9,0.56,0.68276072
delay,115,10,0.52,0.81587772
delay,115,11,0.72,0.92465576
delay,115,12,0.76,0.82781916
delay,115,13,0.64,1.03109528
delay,115,14,0.6,0.868686
delay,115,15,0.52,1.11033248
delay,115,16,0.52,1.0023298
delay,115,17,0.44,0.77046108
delay,115,18,0.6,0.29676904
delay,115,19,0.52,0.29728144
delay,115,20,0.64,0.37033416
delay,115,21,0.56,0.2783986
delay,115,22,0.68,0.31596528
delay,115,23,0.4,0.30915232
delay,115,24,0.56,0.27303076
delay,116,1,0.68,1.69638532
delay,116,2,0.88,1.52104116
delay,116,3,0.72,1.57767324
delay,116,4,0.88,1.40668696
delay,116,5,0.88,1.19943872
delay,116,6,0.88,1.16999504
delay,116,7,0.96,1.18744096
delay,116,8,1,1.0374118
delay,116,9,1,0.9693974
delay,116,10,0.92,1.39164036
delay,116,11,0.96,1.2069584
delay,116,12,0.92,1.25128384
delay,116,13,1,0.97367936
delay,116,14,0.96,1.0742006
delay,116,15,0.96,1.17216544
delay,116,16,1,1.2052498
delay,116,17,1,1.0285462
delay,116,18,0.92,1.19094784
delay,116,19,0.92,0.97399268
delay,116,20,0.96,1.29210972
delay,116,21,0.92,1.00245072
delay,116,22,0.96,1.11423884
delay,116,23,0.88,1.05975768
delay,116,24,0.96,0.99960344
delay,117,1,0.48,1.72782776
delay,117,2,0.76,1.06742684
delay,117,3,0.76,1.15271608
delay,117,4,0.68,1.21998128
delay,117,5,0.68,1.07638764
delay,117,6,0.8,1.14029432
delay,117,7,0.84,1.03615468
delay,117,8,0.84,1.0559722
delay,117,9,0.72,1.23435032
delay,117,10,0.72,1.29106068
delay,117,11,0.84,1.12713404
delay,117,12,0.84,1.0818962
delay,117,13,0.88,1.08433224
delay,117,14,0.88,1.2654218
delay,117,15,0.88,1.19244712
delay,117,16,0.92,1.30279828
delay,117,17,0.68,1.0479616
delay,117,18,0.52,0.74594912
delay,117,19,0.68,0.77812796
delay,117,20,0.52,0.75663928
delay,117,21,0.48,0.6480898
delay,117,22,0.56,0.52673832
delay,117,23,0.44,0.30307508
delay,117,24,0.56,0.26132204
delay,118,1,0.52,0.87934568
delay,118,2,0.56,0.66006172
delay,118,3,0.6,0.70239872
delay,118,4,0.6,0.7896846
delay,118,5,0.48,0.76409604
delay,118,6,0.48,0.9294578
delay,118,7,0.6,0.68874416
delay,118,8,0.52,0.84410628
delay,118,9,0.48,0.79961164
delay,118,10,0.4,0.7845652
