run,rat,maze_time
1,1,88.4174677843046
1,2,18.5031291130083
1,3,124.226348085969
1,4,-42.50983947325
1,5,136.594112304922
2,1,124.84126488726
2,2,106.528818167162
2,3,101.915639166027
2,4,125.733837715553
2,5,35.0989922291102
3,1,88.0831237581962
3,2,166.413569989411
3,3,210.096910219409
3,4,114.377148075807
3,5,88.2246401834049
4,1,8.7931633051662
4,2,-43.7586240829979
4,3,20.2910474928035
4,4,225.408310644997
4,5,177.214218580453
5,1,78.0484373246561
5,2,57.5189716622713
5,3,58.1019900578041
5,4,199.698686090911
5,5,72.4221970911973
