keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,2.758,,,,,,,,1.458,,0,0,0,1,1,1.3,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
v,1,1.91,,,,,,,,0.81,,0,1,1,5,1,1.1,images/target_square.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,2.145,,,,,,,,0.645,,0,2,2,6,1,1.5,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,1,2.216,,,,,,,,0.716,,0,3,3,4,1,1.5,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,0,1.8,,,,,,,,0.7,c,0,4,4,0,1,1.1,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,0.088,,,,,,,,,,,
c,1,2.046,,,,,,,,0.746,,0,5,5,3,1,1.3,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
v,1,1.829,,,,,,,,0.529,,0,6,6,8,1,1.3,images/target_square.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
v,1,2.147,,,,,,,,0.647,,0,7,7,2,1,1.5,images/target_square.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,1,2.09,,,,,,,,0.99,,0,8,8,7,1,1.1,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,1,1.796,,,,,,,,0.696,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,0.005555556,-0.252777778,1,0,0,0,0,0,7,1
c,1,2.394,,,,,,,,0.894,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,1,1,6,1
b,1,1.98,,,,,,,,0.68,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,2,2,1,1
v,1,1.978,,,,,,,,0.678,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,3,3,8,1
v,1,1.658,,,,,,,,0.558,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,4,4,5,1
c,1,1.883,,,,,,,,0.583,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,5,5,3,1
b,1,2.143,,,,,,,,0.643,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,6,6,4,1
v,1,2.038,,,,,,,,0.538,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,7,7,2,1
c,1,1.8,,,,,,,,0.7,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,8,8,0,1
c,1,1.761,,,,,,,,0.661,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,0,9,0,1
b,1,1.611,,,,,,,,0.511,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,1,10,7,1
c,0,1.915,,,,,,,,0.615,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-04_18h31.34.992,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,2,11,1,1
