keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.25,-0.251302083,1,0,0,3.6037,cross_button,0,2.3037,,0,0,0,1,1,1.3,images/target_plus.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,,,
,0,-0.04296875,-0.234375,1,0,0,0.6609,square_button,0,-0.6391,,0,1,1,3,1,1.3,images/target_cross.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,,,
,0,-0.024739583,-0.25390625,1,0,0,1.0118,square_button,0,-0.0882,space,0,2,2,7,1,1.1,images/target_plus.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,2.6621,,,,,,,,,,,,,
,0,0.213541667,-0.26171875,1,0,0,1.2259,plus_button,0,-0.0741,space,0,3,3,8,1,1.3,images/target_square.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,0.8185,,,,,,,,,,,,,
,0,-0.385416667,-0.018229167,1,0,0,1.1283,cross_button,1,-0.3717,,0,4,4,6,1,1.5,images/target_cross.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,,,
,0,-0.036458333,-0.244791667,1,0,0,0.886,square_button,0,-0.614,,0,5,5,4,1,1.5,images/target_plus.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,,,
,0,-0.875,0.442708333,1,0,0,2.2756,cross_button,0,1.1756,,0,6,6,5,1,1.1,images/target_square.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,,,
v,1,-0.40234375,-0.240885417,1,0,0,0.183,,,3.2489,v,0,7,7,2,1,1.5,images/target_square.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,0.9863,4.7489,,,,,,,,,,,,
v,0,,,,,,,,,-0.687,v,0,8,8,0,1,1.1,images/target_cross.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,0.3623,0.413,,,,,,,,,,,,
b,1,,,,,,,,,3.4625,,,,,,,1.5,images/target_plus.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,4.9625,space,3.7984,-0.544014085,-0.501760563,0,0,0,0,0,0,4,1
c,1,,,,,,,,,3.2519,,,,,,,1.5,images/target_cross.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,4.7519,,,,,,,,0,1,1,6,1
c,1,,,,,,,,,1.3195,,,,,,,1.1,images/target_cross.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,2.4195,,,,,,,,0,2,2,0,1
v,1,,,,,,,,,1.721,,,,,,,1.5,images/target_square.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,3.221,,,,,,,,0,3,3,2,1
b,1,,,,,,,,,2.1424,,,,,,,1.1,images/target_plus.jpg,l,001,2022-04-01_13h14.47.373,choiceRTT,2021.2.3,Win32,60.06727535,,3.2424,,,,,,,,0,4,4,7,1
