keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
c,1,3.62152,,,,,,,,2.12152,,0,0,0,6,1,1.5,images/target_cross.jpg,1,001,2022-02-15_15h00.41,choiceRTT,2021.2.3,Win32,60.33546519
c,1,1.86199,,,,,,,,0.56199,,0,1,1,3,1,1.3,images/target_cross.jpg,1,001,2022-02-15_15h00.41,choiceRTT,2021.2.3,Win32,60.33546519
