keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,4.306,,,,,,,,2.806,space,5.683,0,0,0,2,1,1.5,images/target_square.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,0,2.171,,,,,,,,1.071,v,4.666,0,1,1,5,1,1.1,images/target_square.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,0,3.971,,,,,,,,2.871,c,5.7,0,2,2,0,1,1.1,images/target_cross.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,0,3.242,,,,,,,,2.142,v,1.234,0,3,3,7,1,1.1,images/target_plus.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,0,5.178,,,,,,,,3.678,b,1.174,0,4,4,6,1,1.5,images/target_cross.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,3.342,,,,,,,,2.042,space,4.625,0,5,5,8,1,1.3,images/target_square.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,1,4.089,,,,,,,,2.789,space,1.219,0,6,6,3,1,1.3,images/target_cross.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,3.026,,,,,,,,1.726,space,0.666,0,7,7,1,1,1.3,images/target_plus.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,2.458,,,,,,,,0.958,space,0.704,0,8,8,4,1,1.5,images/target_plus.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,3.808,,,,,,,,2.308,,,,,,,,1.5,images/target_square.jpg,J,001,2022-04-24_03h05.42.323,choiceRTT,2021.2.3,Win32,60.0240096,,0.012731481,-0.248842593,1,0,0,0,0,0,2,1
