keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,7.5953,,,,,,,,6.0953,space,12.5744,0,0,0,6,1,1.5,images/target_cross.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
b,1,2.9265,,,,,,,,1.6265,b,5.2364,0,1,1,1,1,1.3,images/target_plus.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
c,1,1.6167,,,,,,,,0.5167,space,9.0616,0,2,2,0,1,1.1,images/target_cross.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
b,1,1.9165,,,,,,,,0.8165,b,4.8446,0,3,3,7,1,1.1,images/target_plus.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
v,1,3.1427,,,,,,,,2.0427,space,3.8044,0,4,4,5,1,1.1,images/target_square.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
v,1,2.6849,,,,,,,,1.1849,space,1.8638,0,5,5,2,1,1.5,images/target_square.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
b,0,2.2281,,,,,,,,0.9281,b,3.8932,0,6,6,3,1,1.3,images/target_cross.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
v,1,2.1111,,,,,,,,0.8111,space,1.3187,0,7,7,8,1,1.3,images/target_square.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
b,1,2.2566,,,,,,,,0.7566,b,1.0573,0,8,8,4,1,1.5,images/target_plus.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,,,,,
b,0,2.2891,,,,,,,,0.7891,,,,,,,,1.5,images/target_cross.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,space,11.9085,0.075000029,-0.012037052,0,0,0,0,0,0,6,1
b,1,1.8844,,,,,,,,0.5844,,,,,,,,1.3,images/target_plus.jpg,Sealtiel,001,2022-04-11_13h15.01.680,choiceRTT,2021.2.3,Win32,59.97720866,,,,,,,,0,1,1,1,1
