keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,2.127,,,,,,,,0.627,,0,0,0,2,1,1.5,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,1,1.712,,,,,,,,0.612,,0,1,1,0,1,1.1,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,1,2.061,,,,,,,,0.561,,0,2,2,6,1,1.5,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,0,2.264,,,,,,,,0.964,,0,3,3,1,1,1.3,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,1.697,,,,,,,,0.597,,0,4,4,5,1,1.1,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,1.874,,,,,,,,0.574,,0,5,5,8,1,1.3,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,1.894,,,,,,,,0.794,,0,6,6,7,1,1.1,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,1,2.248,,,,,,,,0.948,,0,7,7,3,1,1.3,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,2.177,,,,,,,,0.677,,0,8,8,4,1,1.5,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,2.082,,,,,,,,0.582,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,0.076851852,-0.22962963,1,0,0,0,0,0,4,1
c,1,2.178,,,,,,,,0.678,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,1,1,6,1
b,1,1.968,,,,,,,,0.668,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,2,2,1,1
c,1,1.944,,,,,,,,0.644,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,3,3,3,1
b,1,1.766,,,,,,,,0.666,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,4,4,7,1
v,1,1.968,,,,,,,,0.668,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,5,5,8,1
