keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,19.276,-0.089635854,0.284313725,1,0,0,9.87,,17.776,,0,0,0,6,1,1.5,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
v,1,1.881,,,,,,,,0.381,,0,1,1,2,1,1.5,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
v,0,1.655,,,,,,,,0.155,,0,2,2,4,1,1.5,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
b,0,9.596,,,,,,,,8.496,space,0,3,3,0,1,1.1,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,2.912,,,,,,,,,,,
b,1,8.351,,,,,,,,7.051,,0,4,4,1,1,1.3,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
b,1,3.085,,,,,,,,1.985,,0,5,5,7,1,1.1,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
c,1,3.381,,,,,,,,2.081,,0,6,6,3,1,1.3,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
v,1,2.651,,,,,,,,1.351,,0,7,7,8,1,1.3,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
v,1,2.559,,,,,,,,1.459,,0,8,8,5,1,1.1,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
v,0,2.411,,,,,,,,1.311,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,-0.056022409,-0.212885154,1,0,0,0,0,0,0,1
