keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.04,-0.25125,1,0,0,5.626,square_button,1,4.126,space,8.427,0,0,0,2,1,1.5,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,,,
b,1,,,,,,,,,2.267,space,6.726,0,1,1,4,1,1.5,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.767,,,,,,,,,,,,
c,1,,,,,,,,,1.91,space,4.878,0,2,2,0,1,1.1,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.01,,,,,,,,,,,,
v,1,,,,,,,,,1.828,space,1.971,0,3,3,5,1,1.1,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.928,,,,,,,,,,,,
b,1,,,,,,,,,2.741,space,4.725,0,4,4,1,1,1.3,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,4.041,,,,,,,,,,,,
v,1,,,,,,,,,2.18,space,1.39,0,5,5,8,1,1.3,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.48,,,,,,,,,,,,
c,1,,,,,,,,,1.455,space,2.029,0,6,6,6,1,1.5,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.955,,,,,,,,,,,,
,0,0.04,-0.25125,1,0,0,11.419,square_button,0,10.319,space,1.965,0,7,7,7,1,1.1,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,,,
c,1,,,,,,,,,1.741,space,2.539,0,8,8,3,1,1.3,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.041,,,,,,,,,,,,
v,1,,,,,,,,,2.291,,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.791,space,5.622,0.04,-0.25125,0,0,0,0,0,0,2,1
b,1,,,,,,,,,6.995,,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,8.295,,,,,,,,0,1,1,1,1
v,1,,,,,,,,,2.357,,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.657,,,,,,,,0,2,2,8,1
c,0,,,,,,,,,1.281,,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.381,,,,,,,,0,3,3,7,1
v,1,,,,,,,,,3.171,,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,4.271,,,,,,,,0,4,4,5,1
c,1,,,,,,,,,1.684,,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.184,,,,,,,,0,5,5,6,1
c,1,,,,,,,,,1.447,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.747,,,,,,,,0,6,6,3,1
c,1,,,,,,,,,0.955,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.055,,,,,,,,0,7,7,0,1
b,1,,,,,,,,,2.136,,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.636,,,,,,,,0,8,8,4,1
c,1,,,,,,,,,1.289,,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.789,,,,,,,,1,0,9,6,1
v,1,,,,,,,,,1.085,,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.385,,,,,,,,1,1,10,8,1
c,1,,,,,,,,,1.446,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.546,,,,,,,,1,2,11,0,1
v,1,,,,,,,,,1.839,,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.939,,,,,,,,1,3,12,5,1
c,1,,,,,,,,,1.721,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.021,,,,,,,,1,4,13,3,1
b,1,,,,,,,,,1.106,,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.406,,,,,,,,1,5,14,1,1
b,1,,,,,,,,,2.437,,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,3.937,,,,,,,,1,6,15,4,1
v,1,,,,,,,,,1.121,,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.621,,,,,,,,1,7,16,2,1
b,1,,,,,,,,,1.326,,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-05_16h08.00.505,choiceRTT,2021.2.3,Win32,30.00120005,2.426,,,,,,,,1,8,17,7,1
