keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,3.793,,,,,,,,2.293,space,5.17,0,0,0,4,1,1.5,images/target_plus.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,1,3.346,,,,,,,,1.846,space,5.925,0,1,1,2,1,1.5,images/target_square.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,1,3.165,,,,,,,,1.865,space,1.604,0,2,2,8,1,1.3,images/target_square.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,1,2.748,,,,,,,,1.648,space,2.789,0,3,3,5,1,1.1,images/target_square.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,0,2.913,,,,,,,,1.613,space,3.258,0,4,4,1,1,1.3,images/target_plus.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,2.414,,,,,,,,1.314,space,3.347,0,5,5,7,1,1.1,images/target_plus.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,3.228,,,,,,,,1.728,space,3.064,0,6,6,6,1,1.5,images/target_cross.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,2.715,,,,,,,,1.415,space,1.017,0,7,7,3,1,1.3,images/target_cross.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,1.863,,,,,,,,0.763,space,2.21,0,8,8,0,1,1.1,images/target_cross.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,2.68,,,,,,,,1.18,,,,,,,,1.5,images/target_cross.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,space,5.502,-0.055555556,0.046666667,0,0,0,0,0,0,6,1
b,1,3.009,,,,,,,,1.509,,,,,,,,1.5,images/target_plus.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,1,1,4,1
b,1,1.712,,,,,,,,0.612,,,,,,,,1.1,images/target_plus.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,2,2,7,1
b,1,2.933,,,,,,,,1.633,,,,,,,,1.3,images/target_plus.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,3,3,1,1
c,1,2.448,,,,,,,,1.148,,,,,,,,1.3,images/target_cross.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,4,4,3,1
v,1,2.113,,,,,,,,0.813,,,,,,,,1.3,images/target_square.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,5,5,8,1
v,1,2.597,,,,,,,,1.097,,,,,,,,1.5,images/target_square.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,6,6,2,1
v,1,2.042,,,,,,,,0.942,,,,,,,,1.1,images/target_square.jpg,blob,001,2022-04-20_11h48.29.874,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,7,7,5,1
