keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
,0,-0.243333333,-0.267777778,1,0,0,3.13,cross_button,0,2.03,,0,0,0,7,1,1.1,images/target_plus.jpg,a001,001,2022-05-03_22h06.07.952,choiceRTT,2021.2.3,MacIntel,58.82352941,
,0,0.213333333,-0.263333333,1,0,0,3.08,plus_button,1,1.78,,0,1,1,1,1,1.3,images/target_plus.jpg,a001,001,2022-05-03_22h06.07.952,choiceRTT,2021.2.3,MacIntel,58.82352941,
,0,-0.157777778,-0.266666667,1,0,0,3.047,cross_button,1,1.547,,0,2,2,6,1,1.5,images/target_cross.jpg,a001,001,2022-05-03_22h06.07.952,choiceRTT,2021.2.3,MacIntel,58.82352941,8
