stimulus,condition,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsTxt.started,instructionsTxt.stopped,startKey.keys,startKey.rt,startKey.started,startKey.stopped,flankerStim.started,flankerStim.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixation.started,fixation.stopped,endMsg.started,endMsg.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,14.348678099981043,None,space,1.1713583999953698,14.348678099981043,None,,,,,,,,,,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
<<<<<,congruent,left,0,0,0,4,,,,,,,16.03662619998795,None,left,1,0.8833997999900021,16.03662619998795,None,15.53960439999355,16.053451599989785,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
<<<<<,congruent,left,0,1,1,0,,,,,,,17.41994269998395,None,left,1,0.5240525999979582,17.41994269998395,None,16.936521399999037,17.436807499994757,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
>>>>>,congruent,right,0,2,2,1,,,,,,,18.47043190000113,None,right,1,0.4014649000018835,18.47043190000113,None,17.97008430000278,18.47043190000113,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
<<><<,incongruent,right,0,3,3,8,,,,,,,19.386815599980764,None,right,1,0.3809536999906413,19.386815599980764,None,18.90365130000282,19.403418000001693,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
>>>>>,congruent,right,0,4,4,3,,,,,,,20.270094599982258,None,left,0,1.0416455999948084,20.270094599982258,None,19.786866599984933,20.28696699999273,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
<<<<<,congruent,left,0,5,5,2,,,,,,,21.82048229998327,None,right,0,0.5631289999873843,21.82048229998327,None,21.337020100007067,21.8372953000071,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
>>>>>,congruent,right,0,6,6,5,,,,,,,22.88752139999997,None,left,0,0.7363402000046335,22.88752139999997,None,22.40367729999707,22.903837899997598,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
>><>>,incongruent,left,0,7,7,9,,,,,,,24.13793299999088,None,left,1,0.5898236999928486,24.13793299999088,None,23.653995500004385,24.154053499980364,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
>>>>>,congruent,right,0,8,8,7,,,,,,,25.254193300002953,None,right,1,0.47399939998285845,25.254193300002953,None,24.75398629999836,25.254193300002953,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
<<<<<,congruent,left,0,9,9,6,,,,,,,26.237690499983728,None,left,1,0.45816859998740256,26.237690499983728,None,25.754060000006575,26.254258500004653,,,,001,2022_Jan_12_1120,flanker-basic,2021.2.3,60.034171445006685,
,,,,,,,,,,,,,,,,,,,,,,26.72113449999597,None,,,,,,,
