startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,4.921,left,1,0.463,0,0,0,0,1,<<<<<,congruent,left,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,left,1,0.353,0,1,1,6,1,<<<<<,congruent,left,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,right,0,0.403,0,2,2,9,1,>><>>,incongruent,left,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,right,1,0.496,0,3,3,8,1,<<><<,incongruent,right,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,right,1,0.389,0,4,4,1,1,>>>>>,congruent,right,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,left,1,0.364,0,5,5,2,1,<<<<<,congruent,left,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,left,1,0.391,0,6,6,4,1,<<<<<,congruent,left,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,right,1,0.372,0,7,7,7,1,>>>>>,congruent,right,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,right,1,0.378,0,8,8,5,1,>>>>>,congruent,right,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
,,right,1,0.368,0,9,9,3,1,>>>>>,congruent,right,mjc,001,2022-02-08_07h03.24,flanker-basic,2021.2.3,MacIntel,58.82352941
