fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.75,right,1,0.8659,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,6,6,36,1,,,,,
0.75,left,1,0.5956,,,,,,stim/centre.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,7,7,2,1,,,,,
1.3,right,1,0.9319,,,,,,stim/blank.png,stim/incongRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,8,8,27,1,,,,,
1.45,right,0,1.0478,,,,,,stim/blank.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,9,9,19,1,,,,,
0.65,right,1,1.1767,,,,,,stim/blank.png,stim/neutralRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,10,10,43,1,,,,,
0.4,left,1,0.712,,,,,,stim/blank.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,11,11,15,1,,,,,
1.35,right,1,1.6198,,,,,,stim/blank.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,12,12,23,1,,,,,
1.55,left,1,0.5512,,,,,,stim/both.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,13,13,13,1,,,,,
1.4,right,1,0.9574,,,,,,stim/blank.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,14,14,11,1,,,,,
1.45,right,1,0.6559,,,,,,stim/centre.png,stim/incongRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,15,15,26,1,,,,,
1.55,left,1,0.5759,,,,,,stim/both.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,16,16,1,1,,,,,
0.55,left,1,0.7339,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,17,17,35,1,,,,,
0.85,left,1,0.6582,,,,,,stim/blank.png,stim/neutralRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,18,18,47,1,,,,,
0.7,left,1,1.0756,,,,,,stim/blank.png,stim/incongRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,19,19,31,1,,,,,
0.95,left,1,0.6084,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,20,20,34,1,,,,,
0.85,left,1,0.5087,,,,,,stim/lower.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,21,21,12,1,,,,,
1.55,right,1,0.537,,,,,,stim/centre.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,22,22,10,1,,,,,
1.55,left,0,0.5974,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,23,23,38,1,,,,,
0.6,left,1,0.7412,,,,,,stim/blank.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,24,24,3,1,,,,,
0.95,right,1,0.5151,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,25,25,39,1,,,,,
1.3,right,1,0.4259,,,,,,stim/both.png,stim/neutralLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,26,26,37,1,,,,,
1.5,right,1,0.5252,,,,,,stim/both.png,stim/neutralRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,27,27,41,1,,,,,
0.7,left,1,0.6552,,,,,,stim/lower.png,stim/neutralRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,28,28,44,1,,,,,
1.25,right,1,0.5445,,,,,,stim/blank.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,29,29,7,1,,,,,
1.55,left,1,0.8794,,,,,,stim/upper.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,30,30,16,1,,,,,
0.95,left,1,0.6283,,,,,,stim/centre.png,stim/neutralRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,31,31,46,1,,,,,
0.45,right,1,0.7218,,,,,,stim/centre.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,32,32,22,1,,,,,
1.15,right,1,0.6872,,,,,,stim/upper.png,stim/incongRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,33,33,24,1,,,,,
1.35,left,1,0.7689,,,,,,stim/centre.png,stim/incongRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,34,34,30,1,,,,,
0.7,left,1,0.657,,,,,,stim/lower.png,stim/incongRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,35,35,28,1,,,,,
0.65,right,1,0.5486,,,,,,stim/lower.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,36,36,4,1,,,,,
0.7,left,1,0.7536,,,,,,stim/centre.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,37,37,18,1,,,,,
1.15,right,1,0.5611,,,,,,stim/upper.png,stim/neutralRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,38,38,40,1,,,,,
0.8,right,1,0.5742,,,,,,stim/upper.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,39,39,8,1,,,,,
1.15,left,1,0.5501,,,,,,stim/both.png,stim/neutralRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,40,40,45,1,,,,,
1.45,left,1,0.7089,,,,,,stim/both.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,41,41,17,1,,,,,
0.9,right,1,0.6098,,,,,,stim/both.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,42,42,5,1,,,,,
0.95,left,1,0.5677,,,,,,stim/centre.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,43,43,14,1,,,,,
1.35,left,1,0.6484,,,,,,stim/both.png,stim/neutralLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,44,44,33,1,,,,,
0.4,right,1,0.9168,,,,,,stim/lower.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,45,45,20,1,,,,,
1.1,left,1,0.47,,,,,,stim/upper.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,46,46,0,1,,,,,
1.5,right,1,0.6817,,,,,,stim/centre.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,47,47,6,1,,,,,
0.5,left,1,0.659,,,,,,stim/blank.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,1,0,48,15,1,,,,,
1.05,left,1,0.4245,,,,,,stim/both.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,1,1,49,13,1,,,,,
