fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.55,,0,0,0,0,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.65,,0,0,1,1,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.55,,0,0,2,2,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.85,,0,0,3,3,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.45,,0,0,4,4,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.55,,0,0,5,5,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.45,,0,0,6,6,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.9,,0,0,7,7,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.5,,0,0,8,8,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.45,,0,0,9,9,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.1,,0,0,10,10,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.65,,0,0,11,11,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.35,,0,0,12,12,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.35,,0,0,13,13,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.25,,0,0,14,14,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
1.05,,0,0,15,15,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
0.65,,0,0,16,16,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-25_12h47.07.639,ANT,2021.2.3,Win32,59.21364282
