fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.5,,0,0,0,0,17,1,stim/both.png,stim/incongLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
0.65,right,1,0,1,1,23,1,stim/blank.png,stim/incongLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,1.211,,,,,,,,,,,,
0.8,right,1,0,2,2,6,1,stim/centre.png,stim/congLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,1.223,,,,,,,,,,,,
0.9,right,1,0,3,3,5,1,stim/both.png,stim/congLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,1.325,,,,,,,,,,,,
0.4,left,1,0,4,4,19,1,stim/blank.png,stim/incongLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,1.436,,,,,,,,,,,,
1.1,right,1,0,5,5,8,1,stim/upper.png,stim/congRight.png,right,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.637,,,,,,,,,,,,
1.1,,0,0,6,6,1,1,stim/both.png,stim/congLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
0.9,left,1,0,7,7,18,1,stim/centre.png,stim/incongLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.939,,,,,,,,,,,,
1.05,left,1,0,8,8,16,1,stim/upper.png,stim/incongLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.857,,,,,,,,,,,,
1.25,,0,0,9,9,21,1,stim/both.png,stim/incongLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
0.9,left,1,0,10,10,14,1,stim/centre.png,stim/congRight.png,left,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.904,,,,,,,,,,,,
1.4,right,1,0,11,11,10,1,stim/centre.png,stim/congRight.png,right,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.777,,,,,,,,,,,,
1.1,right,1,0,12,12,9,1,stim/both.png,stim/congRight.png,right,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.821,,,,,,,,,,,,
1.05,left,0,0,13,13,22,1,stim/centre.png,stim/incongLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.685,,,,,,,,,,,,
0.7,right,1,0,14,14,7,1,stim/blank.png,stim/congLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.667,,,,,,,,,,,,
1.3,right,1,0,15,15,20,1,stim/lower.png,stim/incongLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.93,,,,,,,,,,,,
0.55,left,1,0,16,16,13,1,stim/both.png,stim/congRight.png,left,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.655,,,,,,,,,,,,
1,right,1,0,17,17,11,1,stim/blank.png,stim/congRight.png,right,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.829,,,,,,,,,,,,
0.7,left,1,0,18,18,12,1,stim/lower.png,stim/congRight.png,left,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.574,,,,,,,,,,,,
1,left,1,0,19,19,3,1,stim/blank.png,stim/congLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.729,,,,,,,,,,,,
1.35,right,1,0,20,20,4,1,stim/lower.png,stim/congLeft.png,right,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.663,,,,,,,,,,,,
1.15,left,1,0,21,21,0,1,stim/upper.png,stim/congLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.629,,,,,,,,,,,,
1.35,left,1,0,22,22,2,1,stim/centre.png,stim/congLeft.png,left,0,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.645,,,,,,,,,,,,
1.2,left,1,0,23,23,15,1,stim/blank.png,stim/congRight.png,left,180,gd,001,2022-04-06_17h49.26.212,ANT,2021.2.3,Win32,60.0240096,0.613,,,,,,,,,,,,
