fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1.4,,0,0,0,0,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.5,,0,0,1,1,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
1.55,,0,0,2,2,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.45,,0,0,3,3,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.95,left,0,0,4,4,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,1.5362,,,,,,,
1.55,left,1,0,5,5,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.8218,,,,,,,
0.5,left,1,0,6,6,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.6666,,,,,,,
1.4,,0,0,7,7,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.95,left,1,0,8,8,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.8519,,,,,,,
0.4,right,1,0,9,9,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.8241,,,,,,,
0.75,left,1,0,10,10,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.8079,,,,,,,
1.55,right,1,0,11,11,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.6372,,,,,,,
0.85,,0,0,12,12,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.85,right,1,0,13,13,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.5558,,,,,,,
1.55,,0,0,14,14,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.85,left,1,0,15,15,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.5666,,,,,,,
1.3,left,1,0,16,16,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.8513,,,,,,,
0.65,left,1,0,17,17,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.6809,,,,,,,
1.45,right,1,0,18,18,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.4919,,,,,,,
0.45,right,1,0,19,19,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.6391,,,,,,,
0.7,,0,0,20,20,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,,,,,
0.8,right,1,0,21,21,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.4674,,,,,,,
1.35,right,1,0,22,22,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.5848,,,,,,,
0.65,left,1,0,23,23,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,0.4333,,,,,,,
0.4,right,1,,,,,,stim/both.png,stim/congLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,1.007,space,2.4588,0,0,0,5,1
1.4,,0,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,0,1,1,23,1
1.55,,0,,,,,,stim/both.png,stim/neutralLeft.png,right,180,,001,2022-04-28_23h46.18.185,ANT,2021.2.3,Win32,60.11421701,,,,0,2,2,37,1
