fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.55,right,1,,,,,,stim/blank.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5854,,,0,6,6,11,1,,,,,
1.55,left,1,,,,,,stim/both.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5234,,,0,7,7,45,1,,,,,
0.95,right,1,,,,,,stim/both.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8166,,,0,8,8,25,1,,,,,
0.7,left,1,,,,,,stim/upper.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6011,,,0,9,9,0,1,,,,,
1.25,left,1,,,,,,stim/blank.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8038,,,0,10,10,31,1,,,,,
1.45,left,1,,,,,,stim/centre.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6836,,,0,11,11,30,1,,,,,
1.25,right,1,,,,,,stim/upper.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8368,,,0,12,12,40,1,,,,,
1.35,right,1,,,,,,stim/lower.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8575,,,0,13,13,20,1,,,,,
0.65,left,1,,,,,,stim/centre.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6219,,,0,14,14,18,1,,,,,
0.85,left,1,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7159,,,0,15,15,32,1,,,,,
1.4,right,1,,,,,,stim/both.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6167,,,0,16,16,41,1,,,,,
1.5,right,1,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8346,,,0,17,17,39,1,,,,,
0.5,left,1,,,,,,stim/centre.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7979,,,0,18,18,46,1,,,,,
0.95,right,1,,,,,,stim/centre.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5048,,,0,19,19,42,1,,,,,
1.35,left,1,,,,,,stim/blank.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.683,,,0,20,20,19,1,,,,,
0.4,right,1,,,,,,stim/centre.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.751,,,0,21,21,22,1,,,,,
1.35,right,1,,,,,,stim/both.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.9028,,,0,22,22,21,1,,,,,
1.4,right,1,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7551,,,0,23,23,36,1,,,,,
1.3,right,1,,,,,,stim/blank.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7907,,,0,24,24,7,1,,,,,
1.45,left,1,,,,,,stim/centre.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8948,,,0,25,25,2,1,,,,,
1.45,right,1,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7335,,,0,26,26,38,1,,,,,
0.85,left,1,,,,,,stim/both.png,stim/neutralLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6346,,,0,27,27,33,1,,,,,
0.5,right,1,,,,,,stim/blank.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6256,,,0,28,28,43,1,,,,,
1.15,right,1,,,,,,stim/centre.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.758,,,0,29,29,26,1,,,,,
0.9,right,1,,,,,,stim/lower.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6372,,,0,30,30,4,1,,,,,
0.6,left,1,,,,,,stim/upper.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5594,,,0,31,31,16,1,,,,,
0.75,left,1,,,,,,stim/both.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7006,,,0,32,32,29,1,,,,,
0.55,left,1,,,,,,stim/centre.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6969,,,0,33,33,14,1,,,,,
0.55,left,1,,,,,,stim/lower.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6529,,,0,34,34,44,1,,,,,
