fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1,,0,0,0,0,3,1,stim/blank.png,stim/congLeft.png,left,0,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,,,,,,,,,,,,,
0.45,right,1,0,1,1,7,1,stim/blank.png,stim/congLeft.png,right,180,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.6147,,,,,,,,,,,,
1,right,1,0,2,2,11,1,stim/blank.png,stim/congRight.png,right,0,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.5502,,,,,,,,,,,,
0.5,left,1,0,3,3,0,1,stim/upper.png,stim/congLeft.png,left,0,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.6133,,,,,,,,,,,,
0.8,left,1,0,4,4,16,1,stim/upper.png,stim/incongLeft.png,left,0,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.8226,,,,,,,,,,,,
1.2,left,1,0,5,5,15,1,stim/blank.png,stim/congRight.png,left,180,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.6366,,,,,,,,,,,,
1.55,right,1,0,6,6,5,1,stim/both.png,stim/congLeft.png,right,180,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.4614,,,,,,,,,,,,
0.8,right,1,0,7,7,10,1,stim/centre.png,stim/congRight.png,right,0,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.4853,,,,,,,,,,,,
1.5,left,1,0,8,8,19,1,stim/blank.png,stim/incongLeft.png,left,0,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.6699,,,,,,,,,,,,
1.4,right,1,0,9,9,6,1,stim/centre.png,stim/congLeft.png,right,180,0001,001,2022-05-02_16h01.57.132,ANT,2021.2.3,Win32,59.79073244,0.4827,,,,,,,,,,,,
