fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt
1.15,,0,0,0,0,19,1,stim/blank.png,stim/incongLeft.png,left,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,
1.05,right,1,0,1,1,6,1,stim/centre.png,stim/congLeft.png,right,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.7187
0.9,left,1,0,2,2,3,1,stim/blank.png,stim/congLeft.png,left,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.4203
1.1,right,1,0,3,3,9,1,stim/both.png,stim/congRight.png,right,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.583
1.05,left,0,0,4,4,22,1,stim/centre.png,stim/incongLeft.png,right,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.9179
0.8,right,0,0,5,5,17,1,stim/both.png,stim/incongLeft.png,left,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.6842
0.45,left,0,0,6,6,20,1,stim/lower.png,stim/incongLeft.png,right,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.717
0.45,left,1,0,7,7,12,1,stim/lower.png,stim/congRight.png,left,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.6002
0.55,right,0,0,8,8,18,1,stim/centre.png,stim/incongLeft.png,left,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.7523
1.4,right,1,0,9,9,4,1,stim/lower.png,stim/congLeft.png,right,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.4907
1.05,left,1,0,10,10,13,1,stim/both.png,stim/congRight.png,left,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.5089
1.05,right,1,0,11,11,7,1,stim/blank.png,stim/congLeft.png,right,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.5773
1.05,right,1,0,12,12,11,1,stim/blank.png,stim/congRight.png,right,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.5828
1.05,left,0,0,13,13,23,1,stim/blank.png,stim/incongLeft.png,right,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.3423
1.4,right,1,0,14,14,10,1,stim/centre.png,stim/congRight.png,right,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.4016
0.6,left,1,0,15,15,2,1,stim/centre.png,stim/congLeft.png,left,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.4345
1,right,0,0,16,16,14,1,stim/centre.png,stim/congRight.png,left,180,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,0.3945
0.6,,0,0,17,17,1,1,stim/both.png,stim/congLeft.png,left,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,
0.95,,0,0,18,18,8,1,stim/upper.png,stim/congRight.png,right,0,b,001,2022-04-23_12h15.07.317,ANT,2021.2.3,Win32,60.21557175,
