fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
0.85,,0,0,0,0,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.1,,0,0,1,1,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.6,,0,0,2,2,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.55,,0,0,3,3,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1,,0,0,4,4,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.45,,0,0,5,5,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.4,,0,0,6,6,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.95,,0,0,7,7,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.55,,0,0,8,8,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.45,,0,0,9,9,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.35,,0,0,10,10,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.65,,0,0,11,11,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.7,,0,0,12,12,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.35,,0,0,13,13,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.15,,0,0,14,14,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.5,,0,0,15,15,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.25,,0,0,16,16,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1,,0,0,17,17,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.5,,0,0,18,18,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.55,,0,0,19,19,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
0.95,,0,0,20,20,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
1.5,,0,0,21,21,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-25_15h05.57.597,ANT,2021.2.3,MacIntel,59.94125757
