fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.55,left,1,0.6177,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,6,6,16,1,,,,,
0.9,right,1,0.6222,,,,,,stim/both.png,stim/incongRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,7,7,25,1,,,,,
0.65,left,1,0.5762,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,8,8,32,1,,,,,
0.5,right,1,0.5713,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,9,9,39,1,,,,,
1.35,left,1,0.4847,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,10,10,34,1,,,,,
1.2,left,1,0.6678,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,11,11,29,1,,,,,
1.3,left,1,0.6512,,,,,,stim/blank.png,stim/neutralRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,12,12,47,1,,,,,
1.5,right,1,0.5336,,,,,,stim/both.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,13,13,37,1,,,,,
1.45,left,1,0.5685,,,,,,stim/blank.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,14,14,3,1,,,,,
0.85,left,1,0.5664,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,15,15,35,1,,,,,
0.7,right,1,0.5168,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,16,16,36,1,,,,,
0.65,right,1,0.4827,,,,,,stim/upper.png,stim/neutralRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,17,17,40,1,,,,,
1.3,right,1,0.4045,,,,,,stim/both.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,18,18,5,1,,,,,
0.75,right,1,0.5674,,,,,,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,19,19,22,1,,,,,
1.05,right,1,0.517,,,,,,stim/both.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,20,20,9,1,,,,,
1.3,left,1,0.5094,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,21,21,13,1,,,,,
0.85,right,1,0.5767,,,,,,stim/upper.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,22,22,8,1,,,,,
0.45,left,1,0.6143,,,,,,stim/lower.png,stim/incongRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,23,23,28,1,,,,,
0.45,right,1,0.6646,,,,,,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,24,24,20,1,,,,,
1.5,left,1,0.6804,,,,,,stim/centre.png,stim/incongRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,25,25,30,1,,,,,
1.4,right,1,0.4205,,,,,,stim/lower.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,26,26,4,1,,,,,
1,right,1,0.5611,,,,,,stim/blank.png,stim/neutralRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,27,27,43,1,,,,,
1.25,left,1,0.385,,,,,,stim/centre.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,28,28,14,1,,,,,
1.3,left,1,0.6389,,,,,,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,29,29,18,1,,,,,
1.3,right,1,0.4931,,,,,,stim/centre.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,30,30,6,1,,,,,
0.7,right,1,0.4873,,,,,,stim/centre.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,31,31,10,1,,,,,
0.95,left,1,0.4232,,,,,,stim/lower.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,32,32,12,1,,,,,
1.4,right,1,0.502,,,,,,stim/blank.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,33,33,11,1,,,,,
1.45,right,1,0.6021,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,34,34,23,1,,,,,
0.9,left,1,0.4987,,,,,,stim/blank.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,35,35,15,1,,,,,
0.65,right,1,0.5314,,,,,,stim/both.png,stim/neutralRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,36,36,41,1,,,,,
1.4,left,1,0.4917,,,,,,stim/centre.png,stim/neutralRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,37,37,46,1,,,,,
0.65,left,1,0.7014,,,,,,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,38,38,19,1,,,,,
