fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt
0.55,,0,0,0,0,12,1,stim/lower.png,stim/congRight.png,left,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
1.35,left,1,0,1,1,18,1,stim/centre.png,stim/incongLeft.png,left,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,1.1083
0.6,left,1,0,2,2,0,1,stim/upper.png,stim/congLeft.png,left,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,1.0225
1.1,left,1,0,3,3,17,1,stim/both.png,stim/incongLeft.png,left,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,1.0253
1.4,right,1,0,4,4,10,1,stim/centre.png,stim/congRight.png,right,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,0.4634
1.05,left,1,0,5,5,13,1,stim/both.png,stim/congRight.png,left,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,0.4295
0.5,left,0,0,6,6,21,1,stim/both.png,stim/incongLeft.png,right,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,0.4355
1.15,right,1,0,7,7,9,1,stim/both.png,stim/congRight.png,right,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,0.4173
1.3,left,0,0,8,8,20,1,stim/lower.png,stim/incongLeft.png,right,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,0.1889
0.85,,0,0,9,9,2,1,stim/centre.png,stim/congLeft.png,left,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
0.8,,0,0,10,10,23,1,stim/blank.png,stim/incongLeft.png,right,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
1.4,,0,0,11,11,22,1,stim/centre.png,stim/incongLeft.png,right,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
0.45,,0,0,12,12,19,1,stim/blank.png,stim/incongLeft.png,left,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
1.05,,0,0,13,13,6,1,stim/centre.png,stim/congLeft.png,right,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
1.05,,0,0,14,14,16,1,stim/upper.png,stim/incongLeft.png,left,0,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
1.15,,0,0,15,15,5,1,stim/both.png,stim/congLeft.png,right,180,999,001,2022-04-03_11h44.24.026,ANT,2021.2.3,Win32,60.06006006,
