fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.4,left,1,,,,,,stim/lower.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7495,,,0,5,5,44,1,,,,,
0.7,left,1,,,,,,stim/both.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7842,,,0,6,6,1,1,,,,,
0.9,right,1,,,,,,stim/blank.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.467,,,0,7,7,43,1,,,,,
0.8,right,1,,,,,,stim/lower.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6169,,,0,8,8,4,1,,,,,
1.25,right,1,,,,,,stim/both.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7521,,,0,9,9,21,1,,,,,
1.4,right,1,,,,,,stim/blank.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.767,,,0,10,10,27,1,,,,,
0.7,left,1,,,,,,stim/centre.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5653,,,0,11,11,14,1,,,,,
1.05,left,1,,,,,,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.619,,,0,12,12,18,1,,,,,
0.75,left,1,,,,,,stim/centre.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.771,,,0,13,13,30,1,,,,,
0.95,right,1,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.8178,,,0,14,14,23,1,,,,,
1.5,right,1,,,,,,stim/upper.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.8341,,,0,15,15,24,1,,,,,
1.55,left,1,,,,,,stim/both.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6648,,,0,16,16,17,1,,,,,
1.5,right,1,,,,,,stim/both.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.651,,,0,17,17,25,1,,,,,
1.5,right,1,,,,,,stim/upper.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6349,,,0,18,18,40,1,,,,,
0.7,left,1,,,,,,stim/both.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6489,,,0,19,19,33,1,,,,,
0.6,left,1,,,,,,stim/blank.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7676,,,0,20,20,31,1,,,,,
0.75,right,1,,,,,,stim/centre.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6365,,,0,21,21,26,1,,,,,
1.5,right,1,,,,,,stim/centre.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5166,,,0,22,22,42,1,,,,,
0.6,right,1,,,,,,stim/centre.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.9032,,,0,23,23,6,1,,,,,
0.75,left,1,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7186,,,0,24,24,13,1,,,,,
0.8,left,1,,,,,,stim/centre.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6694,,,0,25,25,46,1,,,,,
