,group,condition,subject,phase,trial,target,hand_angle,error,movement_time,reaction_time,peak_velocity,rot_direction,rot
6241,0,0,2,Generalisation,324,-150,3.142338283,3.142338283,,,,CCW,0
351,0,1,2,Base,17,90,-1.65,-1.65,0.686042,0.594367,0.12951600000000002,CCW,0
4086,0,1,2,Adaptation,215,0,27.349009999999996,-2.65099,1158.946942,528.9614963,,CCW,-30
6242,0,0,2,Generalisation,325,150,3.588421577,3.588421577,,,,CCW,0
231,0,0,2,Base,18,60,-9.25,-9.25,0.859187,0.45448599999999995,0.2323,CCW,0
4087,0,1,2,Adaptation,216,0,22.82519,-7.174810000000001,783.9730806,653.8537722,,CCW,-30
6243,0,0,2,Generalisation,326,90,2.744075903,2.744075903,,,,CCW,0
313,0,0,2,Base,19,-120,-1.63,-1.63,0.9678959999999999,0.499625,0.15662,CCW,0
4088,0,1,2,Adaptation,217,0,25.42744,-4.57256,956.2678235,605.6409735000001,,CCW,-30
6244,0,0,2,Generalisation,327,-150,7.145323568999999,7.145323568999999,,,,CCW,0
301,0,0,2,Base,20,-90,9.64,9.64,1.2658200000000002,0.30185300000000004,0.09829310000000001,CCW,0
4089,0,1,2,Adaptation,218,0,25.33288,-4.66712,812.5925875,510.279472,,CCW,-30
6245,0,0,2,Generalisation,328,30,14.11090009,14.11090009,,,,CCW,0
270,0,0,2,Base,21,-30,-3.52,-3.52,1.02183,0.477774,0.233715,CCW,0
4090,0,1,2,Adaptation,219,0,26.237640000000003,-3.7623599999999997,1172.5038630000001,367.1143216,,CCW,-30
6246,0,0,2,Generalisation,329,0,21.560361399999998,21.560361399999998,,,,CCW,0
373,0,1,2,Base,22,-60,-6.69,-6.69,0.921566,0.633364,0.11270699999999999,CCW,0
4091,0,1,2,Adaptation,220,0,25.323610000000002,-4.6763900000000005,977.1045217,552.1481757,,CCW,-30
6247,0,0,2,Generalisation,330,-60,3.517891068,3.517891068,,,,CCW,0
250,0,0,2,Base,23,120,-7.7,-7.7,0.658305,0.423893,0.27856,CCW,0
4092,0,1,2,Adaptation,221,0,11.2025,-18.7975,877.743865,295.8080488,,CCW,-30
6248,0,0,2,Generalisation,331,0,19.88279896,19.88279896,,,,CCW,0
236,0,0,2,Base,24,90,-4.78,-4.78,0.798225,0.7445149999999999,0.21700100000000003,CCW,0
4093,0,1,2,Adaptation,222,0,19.9786,-10.0214,890.5169460000001,766.8711777999999,,CCW,-30
6249,0,0,2,Generalisation,332,0,22.72586679,22.72586679,,,,CCW,0
208,0,0,2,Base,25,0,-10.8,-10.8,0.803656,0.38614699999999996,0.23269499999999999,CCW,0
4094,0,1,2,Adaptation,223,0,25.48154,-4.51846,1277.390416,665.6188107999999,,CCW,-30
6250,0,0,2,Generalisation,333,-30,13.40945399,13.40945399,,,,CCW,0
245,0,0,2,Base,26,90,6.79,6.79,0.881184,0.41256800000000005,0.27115500000000003,CCW,0
