fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.8,,0,0,0,0,17,1,stim/both.png,stim/incongLeft.png,left,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
1.5,left,1,0,1,1,16,1,stim/upper.png,stim/incongLeft.png,left,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.553,,,,,,,,,,,,
0.5,left,1,0,2,2,0,1,stim/upper.png,stim/congLeft.png,left,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.396,,,,,,,,,,,,
0.95,left,1,0,3,3,3,1,stim/blank.png,stim/congLeft.png,left,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.5,,,,,,,,,,,,
1.1,right,1,0,4,4,21,1,stim/both.png,stim/incongLeft.png,right,180,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.897,,,,,,,,,,,,
0.7,right,1,0,5,5,5,1,stim/both.png,stim/congLeft.png,right,180,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.65,,,,,,,,,,,,
0.45,right,1,0,6,6,9,1,stim/both.png,stim/congRight.png,right,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.492,,,,,,,,,,,,
1.5,left,1,0,7,7,13,1,stim/both.png,stim/congRight.png,left,180,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.581,,,,,,,,,,,,
0.45,right,1,0,8,8,7,1,stim/blank.png,stim/congLeft.png,right,180,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.514,,,,,,,,,,,,
0.7,left,1,0,9,9,19,1,stim/blank.png,stim/incongLeft.png,left,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.558,,,,,,,,,,,,
1.45,right,1,0,10,10,11,1,stim/blank.png,stim/congRight.png,right,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.476,,,,,,,,,,,,
1.55,left,1,0,11,11,1,1,stim/both.png,stim/congLeft.png,left,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.432,,,,,,,,,,,,
0.45,right,1,0,12,12,8,1,stim/upper.png,stim/congRight.png,right,0,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.341,,,,,,,,,,,,
0.6,right,1,0,13,13,20,1,stim/lower.png,stim/incongLeft.png,right,180,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.607,,,,,,,,,,,,
1.05,right,1,0,14,14,4,1,stim/lower.png,stim/congLeft.png,right,180,my,001,2022-02-25_12h26.15.890,ANT,2021.2.3,MacIntel,58.82352941,0.4,,,,,,,,,,,,
