fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.85,,0,0,0,0,3,1,stim/blank.png,stim/congLeft.png,left,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,,,,,,,,
1.45,right,1,0,1,1,22,1,stim/centre.png,stim/incongLeft.png,right,180,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,1.0512,,,,,,,
0.4,right,1,0,2,2,10,1,stim/centre.png,stim/congRight.png,right,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.6336,,,,,,,
0.8,right,1,0,3,3,9,1,stim/both.png,stim/congRight.png,right,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.551,,,,,,,
0.65,right,1,0,4,4,8,1,stim/upper.png,stim/congRight.png,right,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.4339,,,,,,,
0.9,left,0,0,5,5,23,1,stim/blank.png,stim/incongLeft.png,right,180,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.5004,,,,,,,
1.2,left,1,0,6,6,12,1,stim/lower.png,stim/congRight.png,left,180,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.5842,,,,,,,
1.2,right,0,0,7,7,18,1,stim/centre.png,stim/incongLeft.png,left,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.4507,,,,,,,
0.85,left,1,0,8,8,16,1,stim/upper.png,stim/incongLeft.png,left,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.584,,,,,,,
0.75,left,1,0,9,9,0,1,stim/upper.png,stim/congLeft.png,left,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.434,,,,,,,
1,left,1,0,10,10,17,1,stim/both.png,stim/incongLeft.png,left,0,999,001,2022-04-05_14h18.29.375,ANT,2021.2.3,Win32,60.16847172,0.5835,,,,,,,
