fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.2,left,1,0.7179,,,,,,stim/lower.png,stim/neutralRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,6,6,44,1,,,,,
1.1,right,1,0.8373,,,,,,stim/centre.png,stim/incongRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,7,7,26,1,,,,,
1.2,,0,,,,,,,stim/both.png,stim/neutralRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,8,8,41,1,,,,,
0.5,,0,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,9,9,47,1,,,,,
0.65,right,1,0.8577,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,10,10,36,1,,,,,
1,right,1,0.681,,,,,,stim/centre.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,11,11,22,1,,,,,
0.85,left,1,0.8066,,,,,,stim/both.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,12,12,17,1,,,,,
1.5,left,1,0.7267,,,,,,stim/both.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,13,13,13,1,,,,,
0.45,left,1,0.7349,,,,,,stim/blank.png,stim/incongRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,14,14,31,1,,,,,
1.3,right,1,0.7229,,,,,,stim/centre.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,15,15,10,1,,,,,
