fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1,right,1,0.742000103,,,,,,,stim/blank.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,11,1,95
0.6,,0,,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,20,1,95
1.5,,0,,,,,,,,stim/centre.png,stim/incongRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,26,1,95
0.9,left,1,0.508999825,,,,,,,stim/upper.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,0,1,95
0.75,left,1,0.741999865,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,47,1,95
1.1,right,1,0.625,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,22,1,95
1.35,left,1,0.657999992,,,,,,,stim/blank.png,stim/incongRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,31,1,95
0.4,left,1,0.574999809,,,,,,,stim/both.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,1,1,95
1.1,right,1,0.55700016,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,42,1,95
1.4,left,1,0.540999889,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,35,1,95
0.65,left,1,0.642000198,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,46,1,95
