fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.45,left,1,0.4573,0,0,0,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.45,right,1,0.6669,0,1,1,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.35,left,1,0.5384,0,2,2,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.9,left,1,0.5508,0,3,3,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.95,right,1,0.3798,0,4,4,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.15,right,1,0.672,0,5,5,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.4,right,1,0.434,0,6,6,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.45,right,1,0.688,0,7,7,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.75,left,1,0.4815,0,8,8,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.5,left,1,0.5817,0,9,9,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.4,right,1,0.4552,0,10,10,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.35,left,1,0.4177,0,11,11,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.35,left,1,0.5116,0,12,12,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.7,right,1,0.3925,0,13,13,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.8,left,1,0.4872,0,14,14,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.9,right,1,0.4499,0,15,15,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.1,left,0,0.4396,0,16,16,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.5,left,1,0.4729,0,17,17,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.2,left,1,0.4327,0,18,18,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.8,left,1,0.4501,0,19,19,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1,left,1,0.595,0,20,20,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
0.95,right,1,0.3897,0,21,21,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.4,right,1,0.5862,0,22,22,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
1.3,right,1,0.4078,0,23,23,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-01_17h38.52.800,ANT,2021.2.3,MacIntel,59.97361161
