fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt
1.1,,0,0,0,0,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
0.85,,0,0,1,1,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
0.9,,0,0,2,2,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
1.35,,0,0,3,3,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
1.3,,0,0,4,4,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
0.9,,0,0,5,5,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
1.3,,0,0,6,6,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
1.5,left,0,0,7,7,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.1493
0.9,left,0,0,8,8,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.8505
1.55,left,1,0,9,9,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.9194
1.1,right,1,0,10,10,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.3368
1.5,right,0,0,11,11,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.3789
0.55,left,1,0,12,12,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.4249
1.45,right,1,0,13,13,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.4661
0.65,left,1,0,14,14,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.573
1.25,right,1,0,15,15,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.3186
0.85,left,0,0,16,16,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.3176
1.35,right,0,0,17,17,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.3565
1.55,left,1,0,18,18,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.4663
0.8,left,0,0,19,19,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.8195
1.05,,0,0,20,20,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
0.85,,0,0,21,21,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
0.85,left,1,0,22,22,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,0.6878
1.3,,0,0,23,23,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-03-04_01h07.34.199,ANT,2021.2.3,Win32,60.05645307,
