fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
0.7,right,1,0.911,0,0,0,7,1,stim/blank.png,stim/congLeft.png,right,180,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.9,right,1,0.566,0,1,1,5,1,stim/both.png,stim/congLeft.png,right,180,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
1.45,right,1,0.535,0,2,2,4,1,stim/lower.png,stim/congLeft.png,right,180,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.45,left,1,0.622,0,3,3,3,1,stim/blank.png,stim/congLeft.png,left,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.5,right,1,0.632,0,4,4,10,1,stim/centre.png,stim/congRight.png,right,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
1,left,1,0.635,0,5,5,16,1,stim/upper.png,stim/incongLeft.png,left,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.7,right,1,0.559,0,6,6,9,1,stim/both.png,stim/congRight.png,right,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.5,right,1,0.761,0,7,7,22,1,stim/centre.png,stim/incongLeft.png,right,180,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.85,right,1,0.482,0,8,8,8,1,stim/upper.png,stim/congRight.png,right,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
1.25,left,1,0.538,0,9,9,14,1,stim/centre.png,stim/congRight.png,left,180,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
0.45,,0,,0,10,10,11,1,stim/blank.png,stim/congRight.png,right,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
1.05,left,1,0.477,0,11,11,1,1,stim/both.png,stim/congLeft.png,left,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
1.05,,0,,0,12,12,18,1,stim/centre.png,stim/incongLeft.png,left,0,m,001,2022-02-22_12h45.29.563,ANT,2021.2.3,MacIntel,58.82352941
