fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.3,left,1,0.5311,0,0,0,2,1,stim/centre.png,stim/congLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.75,,0,,0,1,1,20,1,stim/lower.png,stim/incongLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.55,left,1,1.4555,0,2,2,12,1,stim/lower.png,stim/congRight.png,left,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.25,right,1,0.4691,0,3,3,5,1,stim/both.png,stim/congLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.45,left,1,1.1147,0,4,4,15,1,stim/blank.png,stim/congRight.png,left,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.15,left,1,1.0246,0,5,5,16,1,stim/upper.png,stim/incongLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.35,right,1,0.5288,0,6,6,7,1,stim/blank.png,stim/congLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.45,left,1,0.4233,0,7,7,14,1,stim/centre.png,stim/congRight.png,left,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.3,left,0,0.343,0,8,8,23,1,stim/blank.png,stim/incongLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.2,left,1,0.4564,0,9,9,17,1,stim/both.png,stim/incongLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.15,left,1,0.498,0,10,10,13,1,stim/both.png,stim/congRight.png,left,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.8,right,1,0.4233,0,11,11,6,1,stim/centre.png,stim/congLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.15,left,0,0.7762,0,12,12,22,1,stim/centre.png,stim/incongLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.2,right,1,0.5339,0,13,13,10,1,stim/centre.png,stim/congRight.png,right,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.45,right,1,0.4838,0,14,14,11,1,stim/blank.png,stim/congRight.png,right,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.7,left,0,1.12,0,15,15,21,1,stim/both.png,stim/incongLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.4,right,1,0.5101,0,16,16,8,1,stim/upper.png,stim/congRight.png,right,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.1,right,0,0.3679,0,17,17,18,1,stim/centre.png,stim/incongLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.85,right,1,0.4056,0,18,18,4,1,stim/lower.png,stim/congLeft.png,right,180,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.3,left,1,0.4134,0,19,19,3,1,stim/blank.png,stim/congLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
0.85,left,1,0.5864,0,20,20,19,1,stim/blank.png,stim/incongLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.25,left,1,0.4067,0,21,21,0,1,stim/upper.png,stim/congLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.2,left,1,0.4448,0,22,22,1,1,stim/both.png,stim/congLeft.png,left,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
1.25,right,1,0.4099,0,23,23,9,1,stim/both.png,stim/congRight.png,right,0,1,001,2022-04-14_15h46.53.041,ANT,2021.2.3,Win32,165.2073352
