fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.9,,0,0,0,0,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,,,,,,,,
0.65,left,1,0,1,1,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6437,,,,,,,
0.75,left,1,0,2,2,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5354,,,,,,,
1.45,left,1,0,3,3,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.8762,,,,,,,
1.15,left,1,0,4,4,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5944,,,,,,,
1.05,right,1,0,5,5,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.8406,,,,,,,
1.4,left,1,0,6,6,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.574,,,,,,,
1.55,right,1,0,7,7,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.7361,,,,,,,
1.4,right,1,0,8,8,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.918,,,,,,,
0.65,right,1,0,9,9,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.492,,,,,,,
0.65,right,1,0,10,10,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6357,,,,,,,
0.65,left,1,0,11,11,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5952,,,,,,,
1.45,right,1,0,12,12,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4853,,,,,,,
0.65,right,1,0,13,13,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6357,,,,,,,
1.2,left,1,0,14,14,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.7618,,,,,,,
0.8,right,1,0,15,15,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5234,,,,,,,
1.3,right,1,0,16,16,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5015,,,,,,,
1.55,right,1,0,17,17,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.7281,,,,,,,
0.7,right,1,0,18,18,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.527,,,,,,,
0.4,left,1,0,19,19,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5186,,,,,,,
0.65,left,1,0,20,20,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4526,,,,,,,
1.15,left,1,0,21,21,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4919,,,,,,,
1.4,right,1,0,22,22,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4503,,,,,,,
0.55,left,1,0,23,23,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.3767,,,,,,,
1.5,left,1,,,,,,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4922,space,6.6306,0,0,0,15,1
1.15,left,1,,,,,,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5518,,,0,1,1,17,1
0.5,right,1,,,,,,stim/centre.png,stim/neutralRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5021,,,0,2,2,42,1
0.7,left,1,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5238,,,0,3,3,35,1
1.2,left,1,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4876,,,0,4,4,16,1
1.55,right,1,,,,,,stim/both.png,stim/neutralRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4781,,,0,5,5,41,1
1.45,right,1,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5696,,,0,6,6,38,1
0.5,right,1,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.3921,,,0,7,7,36,1
0.9,right,1,,,,,,stim/blank.png,stim/neutralRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4467,,,0,8,8,43,1
0.75,left,1,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.576,,,0,9,9,29,1
1.35,right,1,,,,,,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.3794,,,0,10,10,8,1
1.1,right,1,,,,,,stim/both.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4736,,,0,11,11,9,1
1.5,right,1,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6683,,,0,12,12,23,1
1.3,left,1,,,,,,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6019,,,0,13,13,18,1
1.55,left,1,,,,,,stim/centre.png,stim/incongRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6072,,,0,14,14,30,1
0.85,left,1,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4458,,,0,15,15,34,1
1.15,right,1,,,,,,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.5431,,,0,16,16,11,1
1.25,left,1,,,,,,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.4961,,,0,17,17,3,1
1.4,right,1,,,,,,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6855,,,0,18,18,20,1
0.6,left,1,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6257,,,0,19,19,13,1
0.95,right,1,,,,,,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.6523,,,0,20,20,22,1
1.1,left,1,,,,,,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.806,,,0,21,21,19,1
0.75,right,1,,,,,,stim/upper.png,stim/incongRight.png,right,0,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,0.537,,,0,22,22,24,1
0.65,,0,,,,,,stim/centre.png,stim/neutralRight.png,left,180,,001,2022-02-28_15h50.06.236,ANT,2021.2.3,Win32,59.96282305,,,,0,23,23,46,1
