fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
0.65,,0,0,0,0,21,1,stim/both.png,stim/incongLeft.png,right,180,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
0.4,,0,0,1,1,17,1,stim/both.png,stim/incongLeft.png,left,0,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
0.65,,0,0,2,2,23,1,stim/blank.png,stim/incongLeft.png,right,180,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
1.55,,0,0,3,3,12,1,stim/lower.png,stim/congRight.png,left,180,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
1,,0,0,4,4,14,1,stim/centre.png,stim/congRight.png,left,180,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
0.5,,0,0,5,5,9,1,stim/both.png,stim/congRight.png,right,0,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
0.6,,0,0,6,6,4,1,stim/lower.png,stim/congLeft.png,right,180,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
1,,0,0,7,7,16,1,stim/upper.png,stim/incongLeft.png,left,0,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
1.1,,0,0,8,8,5,1,stim/both.png,stim/congLeft.png,right,180,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
0.5,,0,0,9,9,19,1,stim/blank.png,stim/incongLeft.png,left,0,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
0.55,,0,0,10,10,8,1,stim/upper.png,stim/congRight.png,right,0,00,001,2022-02-24_11h09.09.757,ANT,2021.2.3,MacIntel,55.55555556
