fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
0.6,left,1,0.4007,0,0,0,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.2,left,1,0.4033,0,1,1,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.15,right,1,0.4542,0,2,2,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.7,left,0,0.3809,0,3,3,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.15,,0,,0,4,4,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.55,right,1,0.6198,0,5,5,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.8,left,1,0.7977,0,6,6,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.15,left,1,0.5074,0,7,7,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.2,right,1,0.5984,0,8,8,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.4,left,1,0.615,0,9,9,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
