fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt
0.5,,0,0,0,0,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.7,right,1,0,1,1,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,0.5269
0.4,left,1,0,2,2,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,0.8634
1.25,,0,0,3,3,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.15,,0,0,4,4,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.7,,0,0,5,5,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.1,,0,0,6,6,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.2,,0,0,7,7,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.6,,0,0,8,8,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.95,,0,0,9,9,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.4,,0,0,10,10,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.55,,0,0,11,11,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.8,,0,0,12,12,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.65,,0,0,13,13,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.55,,0,0,14,14,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.55,,0,0,15,15,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.6,,0,0,16,16,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.85,,0,0,17,17,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.45,,0,0,18,18,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.05,,0,0,19,19,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
1.45,,0,0,20,20,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
0.4,,0,0,21,21,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-24_11h57.52.853,ANT,2021.2.3,Win32,59.94485074,
