fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.65,right,1,0.5744,0,0,0,11,1,stim/blank.png,stim/congRight.png,right,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.55,left,0,0.5185,0,1,1,22,1,stim/centre.png,stim/incongLeft.png,right,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.55,left,1,0.6009,0,2,2,0,1,stim/upper.png,stim/congLeft.png,left,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
1.1,left,1,0.8697,0,3,3,17,1,stim/both.png,stim/incongLeft.png,left,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.65,left,1,0.5846,0,4,4,15,1,stim/blank.png,stim/congRight.png,left,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
1,right,1,0.5843,0,5,5,6,1,stim/centre.png,stim/congLeft.png,right,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
1.55,left,1,0.5193,0,6,6,13,1,stim/both.png,stim/congRight.png,left,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
1.2,right,1,0.4027,0,7,7,7,1,stim/blank.png,stim/congLeft.png,right,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.85,left,0,0.509,0,8,8,20,1,stim/lower.png,stim/incongLeft.png,right,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.55,right,0,0.7178,0,9,9,19,1,stim/blank.png,stim/incongLeft.png,left,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.55,left,1,0.5059,0,10,10,1,1,stim/both.png,stim/congLeft.png,left,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
1.55,right,1,0.6178,0,11,11,10,1,stim/centre.png,stim/congRight.png,right,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.85,left,1,0.5846,0,12,12,12,1,stim/lower.png,stim/congRight.png,left,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
1.35,right,1,0.9525,0,13,13,21,1,stim/both.png,stim/incongLeft.png,right,180,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.5,right,1,0.6346,0,14,14,9,1,stim/both.png,stim/congRight.png,right,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
0.9,left,1,0.7947,0,15,15,18,1,stim/centre.png,stim/incongLeft.png,left,0,Kelly Carr,001,2022-04-21_11h07.03.160,ANT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,
