fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.05,left,1,0.865,0,0,0,15,1,stim/blank.png,stim/congRight.png,left,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.3,right,1,0.686,0,1,1,6,1,stim/centre.png,stim/congLeft.png,right,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.15,right,0,0.62,0,2,2,19,1,stim/blank.png,stim/incongLeft.png,left,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
0.55,right,1,0.689,0,3,3,5,1,stim/both.png,stim/congLeft.png,right,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.15,left,1,0.6,0,4,4,1,1,stim/both.png,stim/congLeft.png,left,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.25,left,1,0.52,0,5,5,0,1,stim/upper.png,stim/congLeft.png,left,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.2,left,1,0.713,0,6,6,3,1,stim/blank.png,stim/congLeft.png,left,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.15,right,1,0.495,0,7,7,4,1,stim/lower.png,stim/congLeft.png,right,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
0.95,right,1,0.426,0,8,8,7,1,stim/blank.png,stim/congLeft.png,right,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.35,left,1,0.657,0,9,9,17,1,stim/both.png,stim/incongLeft.png,left,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.35,,0,,0,10,10,14,1,stim/centre.png,stim/congRight.png,left,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
0.45,,0,,0,11,11,16,1,stim/upper.png,stim/incongLeft.png,left,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
0.65,,0,,0,12,12,13,1,stim/both.png,stim/congRight.png,left,180,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.1,,0,,0,13,13,10,1,stim/centre.png,stim/congRight.png,right,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
0.8,,0,,0,14,14,8,1,stim/upper.png,stim/congRight.png,right,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
1.05,,0,,0,15,15,9,1,stim/both.png,stim/congRight.png,right,0,a,001,2022-02-21_16h51.30.030,ANT,2021.2.3,MacIntel,58.82352941
