fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.6,right,0,0.5087,,,,,,stim/centre.png,stim/incongRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,5,5,30,1,,,,,
0.7,right,0,0.8348,,,,,,stim/both.png,stim/congLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,6,6,1,1,,,,,
0.75,right,1,0.4478,,,,,,stim/blank.png,stim/neutralRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,7,7,43,1,,,,,
1.5,right,1,0.5537,,,,,,stim/blank.png,stim/congRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,8,8,11,1,,,,,
0.5,right,1,0.5511,,,,,,stim/lower.png,stim/congLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,9,9,4,1,,,,,
0.8,left,1,0.8828,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,10,10,35,1,,,,,
0.65,right,1,0.5221,,,,,,stim/upper.png,stim/neutralRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,11,11,40,1,,,,,
1.35,right,1,0.5874,,,,,,stim/blank.png,stim/incongLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,12,12,23,1,,,,,
1,right,1,0.3347,,,,,,stim/centre.png,stim/congRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,13,13,10,1,,,,,
1.55,right,0,0.3169,,,,,,stim/blank.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,14,14,19,1,,,,,
0.45,right,1,0.6272,,,,,,stim/blank.png,stim/incongRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,15,15,27,1,,,,,
1.2,left,1,0.7515,,,,,,stim/blank.png,stim/incongRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,16,16,31,1,,,,,
