fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.9,,0,0,0,0,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,
1.05,left,1,0,1,1,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.9503,,,,,,,,,,,,
0.75,right,1,0,2,2,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.617,,,,,,,,,,,,
0.75,left,1,0,3,3,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.6698,,,,,,,,,,,,
0.8,left,0,0,4,4,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.6704,,,,,,,,,,,,
1,right,1,0,5,5,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.6387,,,,,,,,,,,,
1.55,left,1,0,6,6,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5939,,,,,,,,,,,,
0.9,right,1,0,7,7,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.6998,,,,,,,,,,,,
1.1,left,1,0,8,8,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5026,,,,,,,,,,,,
1.05,left,1,0,9,9,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5174,,,,,,,,,,,,
0.7,left,1,0,10,10,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5496,,,,,,,,,,,,
0.55,left,1,0,11,11,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5244,,,,,,,,,,,,
0.85,right,1,0,12,12,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5379,,,,,,,,,,,,
1.15,left,1,0,13,13,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.8,,,,,,,,,,,,
0.55,left,1,0,14,14,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4701,,,,,,,,,,,,
1,right,1,0,15,15,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4993,,,,,,,,,,,,
1.45,right,1,0,16,16,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4861,,,,,,,,,,,,
1,left,1,0,17,17,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.6175,,,,,,,,,,,,
1.45,right,1,0,18,18,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.9764,,,,,,,,,,,,
1.25,right,1,0,19,19,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5332,,,,,,,,,,,,
0.4,left,1,0,20,20,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5006,,,,,,,,,,,,
0.9,right,1,0,21,21,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4666,,,,,,,,,,,,
0.9,left,1,0,22,22,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.9349,,,,,,,,,,,,
0.6,right,1,0,23,23,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4998,,,,,,,,,,,,
0.7,left,1,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5467,space,2.7778,0,0,0,35,1,,,,,
0.8,right,1,,,,,,stim/blank.png,stim/congRight.png,right,0,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.6711,,,0,1,1,11,1,,,,,
1,right,1,,,,,,stim/blank.png,stim/congLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5695,,,0,2,2,7,1,,,,,
0.65,left,1,,,,,,stim/centre.png,stim/congRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4848,,,0,3,3,14,1,,,,,
0.55,left,1,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.5381,,,0,4,4,13,1,,,,,
1.25,left,0,,,,,,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.4015,,,0,5,5,22,1,,,,,
0.75,left,1,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2022-05-10_14h50.45.545,ANT,2021.2.3,MacIntel,60.0024001,0.7169,,,0,6,6,29,1,,,,,
