trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse.started,startMouse.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.001703100017039,None,-0.06166666666666667,0.3625,1,0,0,0.00019602011889219284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_28_2016,visual-search,2020.2.8,60.04026299940707,
0,0,0,0,,,,,,,,,,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,12.621062100020936,None,-0.19583333333333333,0.11833333333333333,1,0,0,3.520409999997355,0.0012148400128353387,None,16.111283800011734,None,,001,2020_Nov_28_2016,visual-search,2020.2.8,60.04026299940707,
1,0,1,0,,,,,,,,,,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,17.26680780001334,None,-0.17916666666666667,0.15,1,0,0,1.4485869000200182,0.014201939979102463,None,18.660708900017198,None,,001,2020_Nov_28_2016,visual-search,2020.2.8,60.04026299940707,
2,0,2,0,,,,,,,,,,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,19.770197700010613,None,0.16916666666666666,0.06333333333333334,1,0,0,1.5298777999996673,0.011762699985411018,None,21.26308850001078,None,,001,2020_Nov_28_2016,visual-search,2020.2.8,60.04026299940707,
