trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse.started,startMouse.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.01153560000239,None,-0.11166666666666666,0.04666666666666667,1,0,0,0.00950954997097142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_28_2007,visual-search,2020.2.8,59.89261255074076,
0,0,0,0,,,,,,,,,,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,12.76658320002025,None,-0.08666666666666667,0.075,1,0,0,1.0319886000070255,0.01219574999413453,None,,001,2020_Nov_28_2007,visual-search,2020.2.8,59.89261255074076,
1,0,1,0,,,,,,,,,,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,13.887616199994227,None,-0.08333333333333333,0.015833333333333335,1,0,0,0.96704960000352,0.01650572000653483,None,,001,2020_Nov_28_2007,visual-search,2020.2.8,59.89261255074076,
2,0,2,0,,,,,,,,,,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,14.913181200012332,None,0.030833333333333334,0.0008333333333333334,1,0,0,0.5943250000127591,0.010305679985322058,None,,001,2020_Nov_28_2007,visual-search,2020.2.8,59.89261255074076,
3,0,3,0,,,,,,,,,,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,15.554556000017328,None,0.10083333333333333,0.0775,1,0,0,0.6110943999956362,0.01042708000750281,None,,001,2020_Nov_28_2007,visual-search,2020.2.8,59.89261255074076,
4,0,4,0,,,,,,,,,,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,16.244100000010803,None,0.0975,-0.0025,1,0,0,0.9393143999914173,0.004925250017549843,None,,001,2020_Nov_28_2007,visual-search,2020.2.8,59.89261255074076,
