trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Lstim.started,Lstim.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,33.93779060000088,None,-0.16583333333333333,-0.18416666666666667,1,0,0,Lstim,0.008650439936900511,None,,001,2020_Nov_28_1918,visual-search,2020.2.8,59.960953429962615,
1,0,1,0,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,36.61010439999518,None,0.07416666666666667,-0.21583333333333332,1,0,0,Lstim,0.013015679956879467,None,,001,2020_Nov_28_1918,visual-search,2020.2.8,59.960953429962615,
2,0,2,0,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,39.8720054999867,None,-0.13333333333333333,-0.2675,1,0,0,Lstim,0.010375579993706197,None,,001,2020_Nov_28_1918,visual-search,2020.2.8,59.960953429962615,
3,0,3,0,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,41.90156119997846,None,-0.04666666666666667,0.25833333333333336,1,0,0,Lstim,0.014521079981932417,None,,001,2020_Nov_28_1918,visual-search,2020.2.8,59.960953429962615,
4,0,4,0,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,45.17267649999121,None,0.08,0.205,1,0,0,Lstim,0.00431528000626713,None,,001,2020_Nov_28_1918,visual-search,2020.2.8,59.960953429962615,
