targetCol,distractorCol,mixedOris,setSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse.started,startMouse.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,corr,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.898766700003762,None,-0.08916666666666667,0.07416666666666667,1,0,0,0.006234480068087578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,0,0,7,,,,,,,,,,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,17.80595790001098,None,-0.04416666666666667,-0.21666666666666667,1,0,0,2.393663499999093,0.008660240040626377,None,1,20.181647500023246,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,1,1,4,,,,,,,,,,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,21.290065700013656,None,0.03166666666666667,-0.07,1,0,0,3.262733899988234,0.009859299985691905,None,1,24.519954700022936,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,2,2,6,,,,,,,,,,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,25.664262700011022,None,-0.2891666666666667,0.19666666666666666,1,0,0,2.817902500013588,0.015122319979127496,None,1,28.423075300001074,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,3,3,1,,,,,,,,,,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,29.529228400002467,None,0.09,0.01,1,0,0,1.5937591999827418,0.0063593999948352575,None,1,31.09199760001502,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
red,black,1,20,0,4,4,9,,,,,,,,,,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,32.20447760002571,None,0.14083333333333334,0.2725,1,0,0,1.393034099979559,0.008032819983782247,None,1,33.57707350002602,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,5,5,3,,,,,,,,,,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,34.665456800023094,None,-0.06833333333333333,-0.19166666666666668,1,0,0,10.2422082000121,0.015195999993011355,None,1,44.88679370001773,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,6,6,2,,,,,,,,,,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,46.011881200014614,None,-0.13083333333333333,0.13583333333333333,1,0,0,8.741898400010541,0.00023259999579750001,None,1,54.71181730000535,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,7,7,5,,,,,,,,,,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,55.84414960001595,None,0.05,0.32916666666666666,1,0,0,1.7312683999771252,0.013011520000873134,None,1,57.53090190002695,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
black,black,1,20,0,8,8,8,,,,,,,,,,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,58.65614010000718,None,-0.19333333333333333,-0.020833333333333332,1,0,0,2.051552700024331,0.016503219987498596,None,1,60.66709980001906,None,,001,2020_Nov_28_2039,visual-search,2020.2.8,59.974187108809886,
